timestamp,gyrox,gyroy,gyroz,accx,accy,accz
10,0.94,0.19,0.19,0,0,0
20,-0.75,-0.44,0.19,0,0,0
30,-2.25,-0.44,1.37,0,0,0
40,-5.31,0.88,24.06,-0.72,-2.57,-19.81
50,-34.25,-16.75,45,0.07,-2.39,-20.32
60,-72.25,-31.5,21.56,0.24,-0.79,-19.64
70,-81.62,-27.06,-16.44,-0.37,0.13,-19.03
80,25.75,199.75,-109.87,-11.6,3.32,-28.33
90,28.75,198.75,-92.31,-11.06,3.66,-27.57
100,-7.44,179.5,-61.19,-8.26,2.7,-25.42
110,-45.81,171.37,-35.75,-7.13,1.87,-24.61
120,-66.06,179.31,-15.56,-5.86,1.09,-23.92
130,-81.12,191.19,-5.06,-5.86,1.09,-23.92
140,-101.75,202.94,-7.25,-4.91,0.63,-22.85
150,-106.75,218.5,-16.56,-2.55,0.49,-17.47
160,-78.75,238.06,-27.44,-1.82,0.54,-16.02
170,-36.25,249.81,-45.5,-1.1,1.76,-13.28
180,-1,247.62,-67.19,-1.1,1.76,-13.28
190,19.06,226,-82.06,-0.41,2.48,-12.24
200,26.37,188.87,-94.44,-0.37,5.76,-9.88
210,31.81,149,-103.37,-0.44,6.52,-9.48
220,44.94,108,-102.31,-1.11,6.8,-9.99
230,63.5,57.38,-89.62,-1.11,6.8,-9.99
240,73.5,-0.5,-68.31,-1.88,6.74,-11.81
250,60.06,-48.56,-42.88,-1.5,4.96,-19.78
260,34.06,-56.94,-30.19,-1.79,5.52,-20.23
270,25.19,-28.5,-28.06,-3.1,7.16,-20.07
280,34.25,5.19,-25.06,-3.1,7.16,-20.07
290,46.38,31.62,-20.56,-3.67,8.4,-19.86
300,55.38,52.38,-8.31,-4.9,10.61,-19.26
310,65.44,65.25,14.81,-4.9,10.61,-19.26
320,71,76,50.13,-5.64,10.32,-20.19
330,60.81,91.25,88.44,-5.56,9.72,-19.83
340,49.5,107.62,125.37,-5.08,8.79,-19.3
350,41.06,120.75,154.5,-3.82,6.27,-18.33
360,34.88,128.81,170.44,-3.4,5.7,-17.56
370,37.94,134,184.87,-2.98,5.01,-17.06
380,40.94,137.37,201.44,-2.54,4.05,-16.67
390,39.69,138.44,218.81,-2.27,3.13,-15.48
400,44.75,141.87,246.94,-2.43,3.7,-14.8
410,77.31,152.44,294.94,-1.6,1.67,-13.84
420,88.87,144.19,329.87,0.85,-4.07,-15.94
430,67,136.62,344.75,2.27,-6.8,-15.84
440,52.88,142.25,338.87,3.19,-8.32,-14.67
450,67.62,160.19,327.75,4.84,-10.54,-11.49
460,87.81,173.12,316.81,4.3,-11.7,-10.5
470,88.69,169.56,309.44,5.5,-13.06,-9.66
480,66.81,150,302.62,6.63,-14.12,-8.48
490,38.81,107.94,300.69,6.09,-16.24,-7.69
500,12.56,43.69,297.62,6.43,-17.82,-8.01
510,-0.5,-28.87,274.87,7.09,-19.31,-8.8
520,14.06,-83.5,229.69,6.88,-20.81,-11.81
530,37.5,-115,180.69,6.12,-21.62,-13.97
540,46.31,-135.31,138.19,5.36,-21.85,-15.76
550,45.94,-148.12,93.81,4.75,-22.71,-17.88
560,37.63,-149.81,37.25,2.68,-21.22,-21.12
570,53.31,-135.62,-12.56,1.7,-20.12,-22.47
580,88.25,-108.56,-49.63,1.16,-19.34,-24.83
590,93.62,-79.81,-78.5,0.57,-16.59,-28
600,74.37,-49.69,-91.69,0.22,-15.54,-29.37
610,37.38,-14.63,-89.5,0.43,-14.76,-30.39
