timestamp,gyrox,gyroy,gyroz,accx,accy,accz
10,14.94,78.62,111.12,0.92,1.54,-1.16
20,14.31,64.06,83.31,0.89,1.41,-1.81
30,8.06,39.19,54.63,0.78,1.02,-2.16
40,2.94,13.06,30.69,0.23,-0.55,-0.84
50,3.06,-0.56,14.5,-0.67,-1.76,0.28
60,9.13,9.69,18.81,-1.34,-2.64,0.97
70,21.19,32.13,37.44,-0.63,-2.37,0.12
80,33.31,48.56,49.19,-0.24,-2.36,-0.9
90,37.69,50.06,52.5,-0.25,-2.75,-1.72
100,29.62,37.56,60.06,-0.78,-3.1,-2.33
110,11.38,9.88,76.5,-0.5,-2.89,-2.42
120,-10.5,-21.44,98.31,-0.32,-2.17,-1.34
130,-19.37,-43,120.94,0.03,-1.05,-0.3
140,-8.13,-54,135.87,0.5,0.18,0.44
150,11.38,-54.13,136.5,1.18,2.12,0.96
160,27.5,-38.81,125.44,1.36,2.64,0.77
170,37.19,-16.87,110.81,1.41,3.2,0.31
180,42.94,-2.19,93.44,1.41,4.23,-1.14
190,42.25,3,74.69,1.38,4.44,-1.93
200,31.56,-2.31,59.19,1.62,4.75,-2.55
210,13,-17.19,42.38,1.86,4.98,-2.58
220,-2.44,-34,26.37,1.9,5.3,-1.6
230,-11.13,-46.69,13.25,1.65,5.52,-0.73
240,-10.81,-44.44,3.81,1.93,6.14,-0.42
250,-1.37,-35.19,-7.06,2.41,7.01,-0.66
260,7.12,-31.44,-29.19,3.13,7.56,-1.97
270,1.5,-36.94,-60.63,2.91,6.88,-2.03
280,-16.87,-46.5,-91.62,2.61,5.44,-1.51
290,-35.44,-54.19,-106.5,2.65,4.25,-0.81
300,-45.56,-58.63,-110.37,2.41,2.57,1.11
310,-45.81,-52.06,-106.25,2.52,2.4,1.86
320,-36.88,-36.88,-101.19,2.81,2.61,2.33
330,-25.12,-17.62,-102.44,2.8,2.41,1.59
340,-20.44,1.06,-108.37,2.71,2.09,0.52
350,-26.94,13.19,-114.62,2.57,1.7,-0.3
360,-36.75,18.31,-120.5,2.19,1.23,-0.66
370,-42.63,17.5,-124.69,1.37,-0.17,-1.3
380,-46,12.06,-124.06,1.33,-0.64,-1.53
390,-47.38,-0.81,-118.69,1.34,-0.97,-1.36
400,-42.5,-19.31,-113.06,1.53,-1.25,-0.7
410,-32.31,-34.75,-109.31,1.3,-2.29,0.73
420,-26.37,-41.13,-104.31,1.26,-2.69,1.27
430,-27.56,-33.5,-97.31,1.1,-3.07,1.78
440,-29.31,-12.69,-87.56,0.75,-3.73,1.88
450,-29.25,17,-74.37,0.88,-3.9,1.25
460,-33.88,44.19,-62.44,0.79,-3.96,0.55
470,-43.88,70.19,-52.44,0.62,-3.86,-0.29
480,-55.38,94.56,-43.56,0.72,-3.32,-2.22
490,-60.63,105.06,-38.88,0.86,-3.31,-3.43
500,-59.44,88.62,-42.63,1.03,-3.8,-4.48
510,-62.56,58.94,-47.88,0.65,-4.72,-5.04
520,-69.87,27.81,-44.44,0.24,-6.21,-3.63
530,-69.56,1,-30,0.27,-6.4,-2.43
540,-57.94,-16,-9.19,0.54,-6.16,-1.44
550,-40.63,-22.69,11.94,0.99,-5.61,-0.84
560,-27,-19.37,29.06,2.25,-3.79,-0.37
570,-16.62,-12.81,39.13,3.03,-2.83,-0.31
580,-3.87,-8.75,40.19,3.7,-2.04,-0.23
590,12.69,-8.81,35.31,4.7,-0.9,-0.33
600,27.44,-12.31,28,5.06,-0.42,-0.46
610,34,-15.56,18.12,5.48,-0.13,-0.68
620,32.38,-22.5,3.44,6,0.21,-0.65
630,27.06,-33.06,-20.12,5.8,-0.86,0.25
640,23.62,-44.63,-39.75,5.86,-1.34,1
650,21.75,-49.19,-53.38,5.27,-2.11,2.03
660,25.75,-43.81,-61.06,4.3,-3.02,3.16
670,25.75,-43.81,-61.06,3.21,-3.03,4.1
680,48.69,8.06,-30.69,2.94,-1.95,4.12
690,66.87,54.63,-11.88,2.63,-0.87,3.26
700,73.94,100,-1.37,2.22,0.87,0.44
710,58.44,144.06,3.75,2.05,1.62,-0.29
720,31.62,191.19,-4.06,1.72,1.31,-2.44
730,-0.88,207.81,-21.56,0.9,0.58,-3.58
740,-18.37,193.75,-31.94,-1.25,-0.86,-5.56
750,-9.5,173.87,-26.81,-1.59,-0.66,-6.82
760,7.62,140.12,-10.94,-2.8,-0.07,-7.45
770,7.62,140.12,-10.94,-1.1,0.44,-8.13
780,11.31,96.81,-0.62,-0.24,0.54,-4.46
790,-29.19,10.31,-28.75,-1.62,-1.34,-1.95
800,-58.13,5.25,-41.69,-2.48,-2.88,-0.03
810,-83.75,36.56,-26.5,-3.84,-3.23,1.69
820,-83.75,36.56,-26.5,-2.8,-2.56,-0.71
830,-79.56,90.44,-5.62,-3.11,-2.37,-2.14
840,-24.37,95,8.31,-3.28,-1.77,-2.99
850,-19.69,70.12,7.5,-3.9,-1.12,-1.15
860,-11,47.31,3.25,-4,-1.02,-0.44
870,-11,47.31,3.25,-4.1,-0.77,0.08
880,3.5,34.5,1.44,-3.89,-0.61,0.42
890,-2.5,42.13,-5.94,-4.62,-1.28,0.44
900,-15.13,58.38,-8.44,-4.92,-1.41,-0.35
910,-23.81,68.5,-3.5,-5.22,-1.43,-1.01
920,-23.81,68.5,-3.5,-5.22,-1.43,-1.01
930,-25.44,63.94,4.56,-5.43,-1.24,-1.53
940,-15.13,32.31,18.06,-4.96,1.03,-1.75
950,-14.56,23.12,12.13,-4.99,1.51,-1.84
960,-17.81,18.75,-2.12,-4.79,1.27,-2.79
970,-17.81,18.75,-2.12,-4.79,1.27,-2.79
980,-23.81,17.44,-23.25,-4.78,0.18,-3.54
990,-36.5,-4.62,-63.25,-5.15,-3.27,-4.22
1000,-36.75,-27.06,-64.31,-5.63,-6.12,-3.38
1010,-28.25,-51.38,-46.38,-5.65,-6.37,-2.75
1020,-28.25,-51.38,-46.38,-5.65,-6.37,-2.75
1030,-11.94,-71.31,-11.81,-5.22,-5.61,-2.38
1040,1.31,-80.87,50.44,-2.24,-0.99,-3.63
1050,-16.81,-79,48.88,-1.69,-1.08,-4
1060,-45.13,-82.62,31.44,-1.48,-2.07,-3.87
1070,-45.13,-82.62,31.44,-1.48,-2.07,-3.87
1080,-64.69,-93.37,16.19,-1.44,-3.33,-3.29
1090,-42.69,-121.12,20.69,-0.93,-5.08,-1.61
1100,-20.87,-134,33,-0.58,-5.08,-1.2
1110,-8.38,-138.75,49.31,0.52,-3.9,0.13
1120,-8.38,-138.75,49.31,0.52,-3.9,0.13
1130,1.06,-136.19,64.12,1.12,-3.26,0.25
1140,10.38,-129.56,72.69,2.05,-2.64,-0.05
1150,13.25,-119.75,73.06,2.28,-3.18,0.02
1160,7.56,-107.87,67.87,2.09,-3.61,0.26
1170,1.62,-98.56,62,2.09,-3.61,0.26
1180,4.81,-95.94,62.38,2.11,-3.79,0.64
1190,22.12,-99.12,71.62,2.75,-2.48,1.81
1200,47.25,-103.69,81.81,2.93,-1.9,2.04
1210,69.31,-99.56,89.62,3.07,-1.49,1.81
1220,85.69,-79.37,93.44,3.07,-1.49,1.81
1230,96.94,-56.88,93.94,2.88,-0.49,-0.09
1240,97,-36.06,98.56,3.47,1.13,-0.96
1250,84.5,-28.69,103.81,3.37,1.71,-0.45
1260,67,-34.06,101.87,3.17,2.45,0.93
1270,55,-41.25,94.69,3.17,2.45,0.93
1280,52.06,-42.38,85.25,3.03,2.89,1.4
1290,56.44,-36,78.06,3.11,4.52,1.19
1300,65.94,-22.81,71.94,3.55,5.45,0.08
1310,71.62,-7.62,57.31,3.47,5.13,-0.25
1320,69.06,1.25,31.94,3.47,5.13,-0.25
1330,58.25,2.5,1.87,3.06,4.11,-0.31
1340,42.56,-0.13,-22.19,1.42,1.48,0.49
1350,25.94,-0.75,-28.37,1.36,2.12,0.52
1360,11.06,5.25,-16.69,1.66,3.2,0.39
1370,1.81,12.81,0.5,1.66,3.2,0.39
1380,0.19,18.69,10.81,2.01,5.15,0.48
1390,6.19,21.87,10.56,2.58,6.29,0.04
1400,18,24.12,0.88,2.55,6.29,-0.31
1410,26.37,26.5,-17.5,1.98,4.7,-0.69
1420,24.06,27.75,-41.81,1.98,4.7,-0.69
1430,10.94,28.44,-63.75,1.42,3.66,-0.38
1440,-4.75,30,-76.44,0.45,2.13,-0.23
1450,-15.13,33.75,-78.56,-0.05,1.89,-0.55
1460,-21.44,37.63,-70.75,0.03,2.48,-0.71
1470,-26.5,40.31,-57.44,0.03,2.48,-0.71
1480,-29.62,41,-44.81,0.23,3.1,-0.92
1490,-32.88,38.19,-39.75,1.06,4.18,-0.22
1500,-36.81,35.19,-42.94,1.1,3.93,-0.02
1510,-36.69,34.44,-54.06,1.07,3.37,-0.08
1520,-34.69,38.63,-69.44,1.07,3.37,-0.08
1530,-36,53.88,-95.75,0.95,1.95,-0.39
1540,-36,53.88,-95.75,0.6,0.39,-0.75
1550,-38.13,60.81,-104.5,0.58,-0.2,-0.98
1560,-43.56,75.69,-104.37,0.63,-0.93,-1.73
1570,-45.56,77.37,-97.69,0.63,-0.93,-1.73
1580,-47.88,75.5,-92.12,0.65,-1.12,-2.07
1590,-50.06,69.06,-88.06,0.75,-1.31,-2.8
