timestamp,gyrox,gyroy,gyroz,accx,accy,accz
10,1.19,-3.69,-0.81,0.16,-0.13,0.13
20,4.37,-2.5,-1.62,0.17,-0.09,-0.01
30,3.69,-1,-1.81,0.04,-0.01,-0.02
40,-0.19,-0.44,-1.06,0.05,0.02,0.08
50,-2.56,-1.56,-0.44,0.11,0,0.24
60,-0.62,-3,-0.44,0.11,0,0.14
70,2.44,-3.12,-0.37,0.07,0.03,-0.1
80,2.37,-1.94,0,0.03,0.09,-0.1
90,-0.19,-0.5,1.62,0.06,0.05,0.05
100,-1.25,-0.5,3.06,0.05,-0.02,0.15
110,1,-1.06,3.69,0.17,-0.22,-0.02
120,2.5,-0.69,3.69,0.13,-0.33,-0.09
130,0.13,0.37,3.06,0.26,-0.37,0.03
140,-2.69,0,1.12,0.16,-0.31,0.27
150,-0.44,-0.75,0.13,0.15,-0.29,0.31
160,2.44,-0.88,-0.37,0.16,-0.28,0.22
170,1.87,-0.69,-0.81,0.15,-0.23,0.24
180,1.25,-0.62,-0.62,0.12,-0.24,0.45
190,1,-1.25,-0.31,0.08,-0.27,0.51
200,1.31,-2.87,-0.69,0.07,-0.27,0.53
210,2.25,-4.94,-1.5,0.08,-0.24,0.45
220,3.87,-7.25,-2.75,0.11,-0.14,0.05
230,5,-7.44,-3.44,0.09,-0.05,-0.1
240,3.81,-6.44,-3.75,0.12,0.04,-0.1
250,2.37,-5.69,-3,0.11,0.1,-0.08
260,1.56,-5.37,-1.62,0.19,0.04,-0.2
270,-0.69,-4.94,-1.31,0.32,0.02,-0.24
280,-3.56,-4.62,-1.69,0.51,0.05,-0.08
290,-3.31,-4.62,-2.25,0.71,0.36,0.02
300,-0.19,-4.69,-2.81,0.91,0.62,0.03
310,1.25,-6.56,-1.06,1.2,0.85,-0.09
320,0.44,-10.38,2.44,2.17,1.19,-0.52
330,-1.94,-16.12,7.37,3.18,1.3,-0.97
340,-2.69,-25.5,10.88,3.64,1.51,-1.95
350,1.25,-29.5,15.69,4.45,1.58,-5.03
360,-0.94,-30.94,21.81,4.48,1.42,-6.81
370,-16.87,-26.69,29,4.28,1.17,-8.18
380,-33.94,-13.13,37.5,3.91,0.78,-9.25
390,-43.31,10.5,48.25,3.69,-0.87,-11.09
