timestamp,gyrox,gyroy,gyroz,accx,accy,accz
10,-0.44,-0.94,3.75,0,0,0
20,-2.31,-0.69,5,0,0,0
30,-3.44,-0.44,5.94,0,0,0
40,-4.5,-0.19,6.37,8.17,3.36,-13.88
50,-4.5,0,6.44,8.17,3.33,-13.78
60,-4.62,0,6.25,8.18,3.27,-13.6
70,-4,-0.31,6.12,8.13,3.27,-13.45
80,-89.37,-71.31,153,3.23,7.03,-5.99
90,-98.37,-109.62,138.62,4.61,6.51,-7.33
100,-101.69,-148.25,100.56,4.04,9.65,-8.33
110,-35.13,-132.44,86.81,3.61,14.87,-9.97
120,-24.31,-105.37,139.19,5.67,14.95,-16.64
130,-109.69,-77.62,209.19,7.96,11.84,-14.23
140,-158.06,-50.44,257,10.41,7.35,-12.51
150,-186.69,-41.81,268.94,14.35,0.83,-10.24
160,-188.06,-43.19,255.5,15.27,-0.12,-9.46
170,-135.87,-33.5,238.94,15.39,-0.94,-12
180,-81.87,-3,224.81,14.98,-1.25,-12.63
190,-17,61.75,220.5,12.84,-1.67,-17.14
200,-29.56,137.19,239.75,11.2,-2.57,-15.82
210,-79.62,194.69,278.62,9.97,-4.64,-12.79
220,-123.44,226.25,318.94,8.86,-13.46,-8.15
230,-163.69,232.75,341.06,8.22,-17.34,-5.34
240,-146.37,234.75,343.44,6.73,-20.3,-3.24
250,-76,256.19,352.06,11.82,-26.21,-1.2
260,-11.31,269.12,299.94,8.8,-29.89,-2.71
270,-18.25,244.56,155.44,6.62,-30.22,-1.1
280,-6.19,222.75,33.19,6.05,-29.4,0.41
290,36.63,203.31,-93.81,0.86,-22.39,-1.56
300,38.63,181.87,-190.44,-2.39,-17.41,-1.68
310,28.94,163.69,-231.5,-4.46,-14.45,-1.81
320,19.06,156.69,-242.37,-7.34,-11.94,-1.1
330,8.06,157,-246.5,-8.83,-10.93,0.65
340,26.81,157,-244.94,-9.92,-9.92,2.25
350,66.69,146.44,-233.5,-11.72,-9.55,2
360,82,125.94,-221.81,-12.62,-10.6,3.5
370,100.81,97.75,-223.62,-13.29,-11.47,3.13
