timestamp,gyrox,gyroy,gyroz,accx,accy,accz
10,-68.19,115,69.87,0,0,0
20,-39.25,121.12,73.75,0,0,0
30,3.37,130.31,85.5,0,0,0
40,45.5,144.81,106.94,2.27,8.14,-16.63
50,57.44,136.56,123.19,2.99,6.42,-17.21
60,7.56,121.69,129.75,5.01,3.11,-19.64
70,-75.25,109.25,132,5.39,2.26,-18.95
80,-124.37,103.31,132.56,5.04,1.78,-17.6
90,-105.75,105.19,133.5,5.91,1.85,-14.82
100,-37.31,114.31,139.44,6.53,1.7,-14.28
110,14.88,107,152.19,6.95,1.44,-14.46
120,14.38,109.37,143.69,8.06,-0.04,-17.2
130,-32.31,113.62,140.87,8.26,-0.29,-16.6
140,-79.5,115.06,144.75,8.46,-0.5,-15.4
150,-95.75,123.06,148.31,8.39,-0.7,-14.09
160,-84.69,135.81,155.81,8.81,-1.04,-12.09
170,-61.81,149.31,167.69,9.19,-1.8,-11.61
180,-44.06,155.12,171.5,8.8,-2.79,-11.47
190,-33.25,148.62,171.56,10.42,-4.51,-10.19
200,-27.5,121.75,159.62,10.52,-4.73,-10.12
210,-23.12,100.94,155.06,11.09,-5.31,-10.47
220,-24.31,89.44,149.62,11.58,-5.99,-10.59
230,-32.5,76.75,132.81,13.04,-8.15,-10.77
240,-45.63,67.12,97.31,13.2,-8.16,-10.36
250,-46,62.19,53.5,13.01,-7.97,-9.74
260,-34.75,52.13,12.06,12.25,-6.67,-8.67
270,-26,28.56,-8.81,11.74,-5.98,-8.96
280,-29.06,6.44,-11.25,11.48,-5.72,-9.64
290,-46.06,-11.06,-9,11.74,-6.12,-10.47
300,-65.62,-24.5,-15.81,12.23,-6.7,-12.03
310,-69,-24.87,-29.62,12.05,-6.12,-12
320,-46.25,-17.06,-39.88,11.36,-5,-11.48
330,-3.12,-7.56,-37.69,11.4,-4.94,-11.72
340,33.19,2.19,-38.56,11.95,-5.69,-12.48
350,43.56,12.38,-51.38,12.33,-6.21,-12.85
360,34.19,20.62,-73.87,11.87,-5.81,-11.61
370,24.87,23.12,-95.25,11.5,-5.14,-10.44
380,26.56,17.62,-110.5,11.22,-4.39,-9.57
390,37.69,5.44,-123.81,10.95,-3.35,-9.14
400,53.31,-8.38,-130.94,10.23,-1.12,-9.55
410,65.94,-21.44,-133.12,9.92,-0.17,-9.84
420,73.19,-30.44,-130.69,9.43,0.66,-10.49
430,68,-34.75,-124.12,9.11,1.52,-11.18
440,45.75,-40.69,-116.62,8.97,1.78,-11.19
450,13.63,-50.19,-109.06,8.93,2.02,-11.25
460,-19.25,-59.94,-101.81,9.09,2.03,-11.28
470,-41.63,-65.75,-99.87,9.41,1.58,-10.92
480,-44.56,-67.37,-107.94,9.39,1.77,-10.21
490,-22.25,-71.5,-123.5,9.05,2.42,-9.69
500,20.06,-80,-138.5,8.06,4.32,-9.81
510,65.12,-93.19,-148,7.59,5.36,-11.14
520,92.25,-104.19,-149,6.88,6.37,-12.81
530,92.25,-104.19,-149,6.17,7.33,-14.18
540,95.19,-107.37,-137.25,5.97,7.83,-15.85
550,51.75,-100.06,-93.75,6.4,7.51,-16.38
560,22.25,-91.69,-84.37,6.4,7.48,-15.97
570,12.63,-89.31,-81.12,5.84,8.15,-14.13
580,12.63,-89.31,-81.12,5.69,8.4,-14.04
590,28.12,-93.37,-76.56,5.54,8.53,-14.43
600,60.13,-105.37,-59.69,5.44,8.51,-15.41
610,56.31,-110.31,-53.06,5.21,8.62,-15.92
620,44.19,-115.69,-48.88,4.8,8.87,-15.91
630,44.19,-115.69,-48.88,4.28,9.2,-16.31
640,33.94,-127.69,-44.38,3.46,9.88,-17.92
650,25.5,-146.5,-30.25,2.9,10.24,-18.45
660,36.69,-145.94,-18.31,2.89,10.51,-19.09
670,55.56,-138.44,-5,3.1,10.78,-20.88
680,55.56,-138.44,-5,3.15,10.65,-22.03
690,68.5,-130.06,11.38,2.95,10.51,-23
700,42.63,-109.44,38,2.55,10.49,-23.49
710,21.87,-104.62,47.88,1.19,11.21,-23.02
720,18.5,-101.06,64.25,0.58,11.26,-22.82
730,18.5,-101.06,64.25,-0.02,10.89,-23
740,28.31,-97.56,86.87,0.03,8.74,-24.73
750,19.69,-86.12,136.62,0.39,7.26,-25.4
760,-11.94,-76.87,153.25,0.78,5.91,-25.5
770,-47.44,-67.94,162.81,0.97,4.7,-25.11
780,-47.44,-67.94,162.81,0.97,4.7,-25.11
790,-69.37,-61.94,164.56,1.43,2.59,-23.3
800,-38.19,-47.06,147.81,1.46,1.83,-21.6
810,0.62,-36.13,139.12,1.35,1.62,-21.14
820,27.5,-23.31,133.94,1.27,1.58,-20.77
830,27.5,-23.31,133.94,1.27,1.58,-20.77
840,35.94,-14.56,132.25,1.22,1.57,-19.99
850,31.75,-13.19,145.25,1.16,0.23,-17.94
860,20.56,-20.31,154.69,1.31,-0.64,-17.53
870,5.62,-28.75,161.37,1.61,-1.75,-17.18
880,5.62,-28.75,161.37,1.61,-1.75,-17.18
890,-7.44,-38.63,162.31,2.26,-4.3,-16.49
900,-28.5,-63.69,131.56,3.01,-6.07,-17.23
910,-37.88,-67,103.94,3.13,-5.46,-17.7
920,-36.06,-59.63,83,3.09,-5.03,-17.3
930,-36.06,-59.63,83,3.09,-5.03,-17.3
940,-19.62,-50.06,71.5,2.98,-4.92,-16.8
950,2.06,-41.69,64.44,2.88,-5.54,-16.42
960,14.5,-39.75,57.81,2.84,-5.79,-16.35
970,12.81,-43.88,52.25,2.87,-6.11,-16.07
980,-0.56,-50.44,44.13,2.87,-6.11,-16.07
990,-15.38,-62.88,31.87,2.8,-6.23,-15.63
1000,-24.81,-78.31,18.25,2.78,-6.08,-16.44
1010,-29.94,-92.37,7,1.82,-5.79,-17.34
1020,-35.56,-106.31,-0.69,1.95,-5.92,-19.05
1030,-42.19,-114.12,-13.5,1.95,-5.92,-19.05
1040,-36.44,-109.37,-32.81,1.54,-5.48,-19.39
1050,-11,-96.56,-48.5,1.49,-5.76,-20.19
1060,24.75,-79.37,-67.94,1.06,-5.32,-20.31
1070,55.19,-65.19,-88.44,0.68,-4.87,-21.05
1080,71.75,-62.5,-103.81,0.68,-4.87,-21.05
1090,69.25,-60.88,-113.5,-0.36,-3.52,-21.87
1100,51.81,-57.19,-111.31,-0.97,-4.18,-22.03
1110,21.37,-57.25,-108.87,-1.19,-4.42,-21.76
1120,-7.19,-60.88,-111.94,-1.56,-4.49,-22.4
1130,-22.25,-68.69,-121.06,-1.56,-4.49,-22.4
1140,-22.5,-79.12,-136.75,-1.75,-4.19,-23.41
1150,-10.94,-91,-161.25,-4.36,0.03,-28.02
1160,14.06,-95.69,-183.25,-4.86,1.31,-29.97
1170,38.94,-82.44,-193.56,-5.11,2.44,-31.38
1180,46.56,-47.56,-194.56,-5.11,2.44,-31.38
1190,37.06,-6.37,-193.62,-5.94,3.83,-31.58
1200,28.75,28.56,-183.69,-7.95,7.54,-31.2
1210,24.5,56.94,-158.12,-7.76,7.7,-31.45
1220,14.06,87.25,-125.56,-7.11,6.92,-29.94
1230,-10.25,123.12,-93,-7.11,6.92,-29.94
1240,-43,156.81,-66.12,-7.06,6.59,-27.99
1250,-65.75,184.06,-43,-5.66,5.69,-24.18
1260,-74.12,207.12,-20.69,-4.16,3.82,-20.16
1270,-80.94,227.06,-5.44,-3.23,3.23,-18.02
1280,-88.44,237.75,1.87,-3.23,3.23,-18.02
1290,-94.25,235.75,3.75,-2.27,2.93,-16.1
1300,-95.56,220.87,-0.25,-0.34,3.79,-11.53
1310,-84.31,192.94,-11.88,0.05,4.37,-11.42
1320,-56.25,156.87,-17.69,0.66,5.27,-13.68
1330,-26.5,117.31,-18.81,0.66,5.27,-13.68
1340,-5.62,86.12,-19.25,1.01,5.82,-16.05
1350,-5.37,72.12,-16.56,1.8,7.09,-19.06
1360,-18,69.25,-19.75,1.78,10.4,-19.45
1370,-15.69,76.44,-28.75,1.12,12.41,-19.62
1380,9.56,86.87,-37.69,1.12,12.41,-19.62
1390,45.88,93.5,-30.37,0.76,14.18,-20.35
1400,72.06,102.56,2.25,0.79,13.3,-24.9
1410,63.5,118.37,48.63,1.29,11.8,-24.87
1420,15.06,136.19,90.06,1.59,10.56,-23.56
1430,-44.31,151.69,124.12,1.59,10.56,-23.56
1440,-93.31,159.87,155.37,2.74,7.14,-20.56
1450,-130.69,156.31,174.44,4.59,4.26,-18.02
1460,-153.69,151.44,182.56,4.59,4.26,-18.02
1470,-155.19,135.37,180.87,4.76,3.46,-16.1
1480,-131.56,116.75,178.87,6.08,3.26,-15.93
1490,-87.25,108.69,176.94,6.04,2.28,-16.52
1500,-41.44,119.56,171.62,6.59,1.48,-17.51
1510,-12.44,139,166.37,7,-0.01,-17.5
1520,-7.75,155.56,160.06,7.44,-0.6,-16.7
1530,-20.81,163.69,156.12,7.74,-1.07,-15.96
1540,-42.63,171.37,158.06,8.49,-2.58,-13.38
1550,-64.94,172,161.5,9.03,-3.53,-11.87
1560,-77.81,161.87,159.06,10.04,-4.45,-10.23
1570,-73.5,143.5,147.94,11.02,-5.88,-8.27
1580,-57.31,122.94,129.56,11.31,-6.3,-7.79
1590,-41.88,97.06,107.12,11.34,-6.57,-7.65
1600,-36.44,60.88,83.19,12.07,-6.79,-8.23
1610,-47.44,25.06,61.81,11.73,-6.89,-9.97
1620,-54.63,4.44,43.56,12.04,-6.47,-10.15
1630,-31.75,3.12,30.44,12.17,-6.34,-10.71
1640,3.56,17.44,18.19,12.14,-6.55,-11.64
1650,25.69,33.81,3.25,11.99,-6.36,-10.98
1660,34.88,39.5,-12.56,11.67,-5.93,-10.4
1670,33.19,33.56,-21.5,11.95,-5.73,-10.27
1680,13.38,18.56,-26.62,11.79,-5.95,-10.95
1690,-18.06,5.31,-35.31,12.18,-5.57,-10.88
1700,-45.38,-2.94,-41.81,11.92,-5.41,-10.75
1710,-62.88,-10.5,-48.25,12,-5.26,-10.9
1720,-66.69,-14.81,-58.06,11.74,-5.08,-11.16
1730,-55.44,-13.13,-66.75,11.88,-5.12,-11.41
1740,-35.69,-11.31,-80.5,11.77,-4.89,-11.55
1750,-9,-5.69,-94.87,11.29,-4.01,-11.75
1760,12.31,-2.12,-105.5,11.23,-3.89,-12.04
1770,16.94,-4.19,-116.94,11.16,-3.61,-12.41
1780,9.56,-6.44,-129.06,10.7,-2.28,-12.39
1790,6.5,-7.12,-141,10.22,-1.26,-11.97
1800,18.44,-5.69,-150.31,9.71,-0.31,-11.59
1810,37.69,-4.94,-155.12,9.39,0.34,-11.33
1820,52.06,-9.38,-159.56,8.9,1.56,-11.04
1830,59.31,-14.75,-163.37,8.51,2.17,-11.09
1840,52.5,-22.44,-162.69,8.28,2.53,-11.21
1850,28.5,-35.56,-160.69,7.91,2.96,-11.46
1860,-3.69,-48.5,-159.12,7.93,3.27,-11.34
