timestamp,gyrox,gyroy,gyroz,accx,accy,accz
10,24.12,-43.19,-30.37,-3.17,1.17,-0.4
20,15.5,-33.31,-26.25,-2.88,1.87,-1.11
30,7.19,-33.25,-33,-2.71,2.09,-1.73
40,4.87,-41.69,-43.38,-2.76,1.75,-1.59
50,10.06,-52.13,-53.5,-2.88,1.13,-1.27
60,18.81,-59.94,-60.13,-3.11,-0.17,-0.69
70,25.06,-63.88,-61.44,-3.32,-0.71,-0.55
80,25.87,-63,-56.75,-3.48,-1.04,-0.48
90,23.56,-58.94,-46.56,-3.38,-1.16,-0.74
100,17.12,-56.88,-34.69,-3.11,-0.93,-1.35
110,9.69,-58.38,-23.5,-2.81,-0.57,-1.51
120,7.44,-65.69,-16.75,-2.41,-0.32,-1.71
130,8.25,-79,-13.38,-2.02,-0.01,-1.64
140,8.5,-92.69,-13.13,-1.15,0.74,0
150,12.94,-102.19,-15.06,-0.57,1.37,0.72
160,21.75,-105.75,-23.19,0,1.62,1.18
170,29.37,-100.69,-37.63,0.2,1.16,1.4
180,32.63,-88.12,-44.88,0.23,-0.52,2.05
190,34.81,-73.81,-40.13,0.48,-0.81,2.27
200,38.13,-60.56,-28.75,0.71,-0.79,2.33
210,39.75,-46.94,-15.56,1.77,0.38,1.79
220,37,-36.13,-8.31,2.42,0.81,1.69
230,32.25,-28.87,-8.44,2.78,0.94,1.87
240,31.06,-22.37,-10.75,3.05,1.04,2.1
250,35.5,-14.38,-11.31,3.61,1.7,1.8
260,40.19,-5.37,-11.38,4.09,1.92,1.12
270,37.38,-1,-14.69,4.31,1.54,0.6
280,26.62,-2.62,-13.69,4.3,0.97,0.51
290,15.06,-7,-2.19,5.18,1.27,1.07
300,15.06,-7,-2.19,5.74,1.93,1.56
310,7,-22.12,23.5,6.35,2.86,2.2
320,9.75,-31.75,30,8.48,6.11,2.61
330,12.19,-32.31,15.56,8.81,6.67,2.73
340,15,-15.19,-20.75,8.67,6.03,2.83
350,6,34.75,-59.94,7.85,4.52,2.63
360,-6.75,86.56,-83.62,7.01,1.37,-0.46
370,-18.06,132.31,-91.56,6.8,0.33,-1.05
380,-35.06,160.5,-87.62,6.57,-0.45,-1.13
390,-39.19,154,-76.25,5.96,-1.58,-3.11
400,-39.19,154,-76.25,5.19,-2.4,-3.53
410,-33.44,73.12,-23.87,5.13,-0.92,-1.64
420,-17.56,50.19,-2.87,5.65,1.08,-0.3
430,-2.19,60.56,-4.75,5.76,2.6,0.03
440,-6.44,92.31,-28.5,4.88,1.52,-2.44
450,-6.44,92.31,-28.5,3.93,-0.27,-2.99
460,-28,115.56,-55.31,2.96,-1.77,-3.36
470,-38.56,98.12,-58.63,1.76,-3.2,-3.25
480,-32.44,81.37,-43.75,1.15,-3.48,-2.86
490,-30.12,74.56,-32.38,0.66,-3.84,-2.61
500,-30.12,74.56,-32.38,-0.34,-4.44,-2.9
510,-31.19,77.06,-23.31,-1.3,-4.71,-3.34
520,-40.5,73.06,10.69,-1.73,-4.73,-3.18
530,-46.75,68.37,32.44,-1.66,-3.67,-2.44
540,-53.19,65.69,43.38,-1.78,-3.19,-1.35
550,-53.19,65.69,43.38,-1.78,-3.19,-1.35
560,-53.25,68.31,44.06,-4.85,-4.31,-1.88
570,-62.38,74.37,90.94,-4.58,-2.47,-1.55
580,-38.38,64.62,105,-3.62,1.16,-1.03
590,-17.87,55.19,94.37,-3.55,1.62,0.17
600,-17.87,55.19,94.37,-3.55,1.62,0.17
610,0.81,50.56,66,-4.36,0.08,0.63
620,26.25,57.94,16.87,-5.79,-3.55,0
630,21.75,64.12,13.69,-6.49,-5.34,-0.71
640,13.13,65.12,28.31,-6.88,-6.53,-1.11
650,13.13,65.12,28.31,-6.88,-6.53,-1.11
660,4.94,58.94,58.88,-7.01,-6.74,-1.09
670,14.25,32.81,130.06,-5.3,-1.68,-0.65
680,18.37,23.81,143.19,-5.01,-0.32,-0.56
690,14.81,18.94,143.31,-4.74,0.62,-0.62
700,14.81,18.94,143.31,-4.74,0.62,-0.62
710,6.06,14.19,131.44,-5.43,-0.26,-0.38
720,0.56,1.75,119.31,-6.05,-1.84,-0.07
730,5.75,-3.87,128.62,-6.18,-1.42,-0.53
740,7.44,-9.19,135.75,-6.39,-1.36,-0.81
750,7.44,-9.19,135.75,-6.39,-1.36,-0.81
760,3.81,-13.75,139.19,-6.65,-1.38,-0.94
770,-8.25,-18.75,141.62,-7.77,-1.61,0.93
780,-5.37,-8,137.75,-7.39,-1.88,-0.4
790,3.62,11.44,129.81,-7.31,-2.97,-2.46
800,3.62,11.44,129.81,-7.31,-2.97,-2.46
810,-0.44,24.19,117.69,-7.83,-5.08,-4.77
820,-0.94,0.19,152.25,-6.92,-8.57,-11.16
830,12.81,-45.5,208.44,-4.54,-6.31,-11.54
840,12.81,-45.5,208.44,-1.63,-2.31,-9.07
850,-19,-101.81,254.75,-1.63,-2.31,-9.07
860,-21.25,-153.75,267.87,1.76,2.34,-3.26
870,-8.69,-180.56,252.81,4.15,3.25,-0.19
880,-1.81,-177.87,227.12,4.51,1.75,0.72
890,1.69,-164.5,192,5.02,0.9,0.92
900,-1.56,-146.31,165.87,5.02,0.9,0.92
910,-11.19,-126.87,153.56,5.32,0.17,1.3
920,-17.12,-113.25,150.94,6.95,2.09,2.57
930,-9.5,-104.44,157.81,7.36,3.34,1.77
940,12.44,-93.87,160.81,8.18,4.8,0.13
950,33.88,-69.06,153.44,8.18,4.8,0.13
960,35.88,-41.31,128.69,8.53,5.13,-1.55
970,11.06,-31.69,81.81,7.69,0.69,-0.37
980,-11.5,-45.81,48.31,7.69,-0.16,0.76
990,-5.25,-70.62,34.38,8.03,-0.59,2.44
1000,10,-88,32,8.03,-0.59,2.44
1010,16,-90.94,34.13,8.21,-0.63,2.81
1020,10.38,-73.94,37.19,8.62,-0.35,3.2
1030,-0.62,-47.25,39.25,9.32,0.93,3.06
1040,-2.94,-23.37,40.63,9.59,1.58,2.88
1050,0.37,-4.87,36.25,9.59,1.58,2.88
1060,3.94,12.63,25,9.83,1.88,2.22
1070,6,27.31,5.19,8.64,-0.67,1.4
1080,3.06,37.88,-15.06,8.48,-0.88,0.86
1090,-1.44,51.38,-22.37,8.66,-0.61,0.42
1100,-9.13,67.69,-15.63,8.66,-0.61,0.42
1110,-21.06,82.5,-6.81,8.75,-0.25,0.07
1120,-32.81,91.25,-1.56,8.8,1.08,1.05
1130,-37.94,92.31,-3.37,8.76,1.62,1.73
1140,-27.62,91.69,-10.31,8.54,1.69,0.83
1150,-3.25,99.06,-22.31,8.54,1.69,0.83
1160,17.56,111.44,-37.44,8.12,1.62,0.37
1170,19.25,122.75,-51.94,7.13,0.78,-0.12
1180,7.31,135.5,-63.44,5.84,0.66,-0.07
1190,-8.44,147.37,-67.87,5.32,1.57,-0.44
1200,-16.37,164.06,-66.56,5.32,1.57,-0.44
1210,-10.13,187.75,-62.44,5.14,2.75,-2.04
1220,2,206.44,-66.81,4.04,2.57,-5.57
1230,13.25,193.56,-90.06,2.42,0.71,-5.26
1240,33.81,164,-126.06,1.03,-1.15,-4.71
1250,43.38,138.69,-154.44,1.03,-1.15,-4.71
1260,21.94,135.31,-162.62,-3.51,-4.21,-5.14
1270,-11.88,151.19,-147.69,-2.03,-1.13,-8.41
1280,-43.69,174.75,-110,-2.5,-0.59,-8.79
1290,-56,164.25,-81,-5.11,-1.37,-4.97
1300,-52.69,122.62,-86.75,-5.11,-1.37,-4.97
1310,-32.69,84.81,-79.44,-3.94,0.36,-3.46
1320,-32.69,84.81,-79.44,-4.35,0.75,-3.59
1330,22.37,68.31,-93.37,-5.44,-0.3,-3.99
1340,-1.19,70,-102.69,-5.97,-0.89,-2.27
1350,-6.44,74,-100.5,-6.47,-1.45,-2.95
1360,-17.69,69.19,-93.94,-6.91,-2.01,-3.76
1370,-25,54.13,-82,-7.25,-2.04,-3.29
1380,-16.37,39.31,-72.06,-7.35,-1.07,-1.56
1390,-2.37,28.75,-70,-7.19,-0.57,-0.99
1400,4.5,24.25,-74.5,-7.12,-0.53,-0.59
1410,8,28.75,-78.06,-7.82,-1.44,-1.21
1420,12.44,32.94,-74.94,-8.02,-1.46,-2.95
1430,14.69,22.87,-68.31,-7.95,-1.08,-4.68
1440,12.44,-3.94,-65.87,-7.68,-0.82,-5.86
