timestamp,gyrox,gyroy,gyroz,accx,accy,accz
10,-1.81,-19.50,14.56,0.00,0.00,0.00
20,-3.44,-34.31,18.25,0.00,0.00,0.00
30,-5.19,-52.44,18.44,0.00,0.00,0.00
40,-8.56,-67.25,14.81,0.02,-0.25,-21.03
50,-15.44,-74.62,9.13,-0.10,-0.09,-20.65
60,-19.56,-78.94,1.37,-0.38,-0.25,-20.09
70,-17.81,-85.69,-5.25,-1.14,-0.72,-19.61
80,-12.25,-95.75,-7.69,-1.89,-1.19,-19.26
90,-5.06,-105.06,-5.31,-2.30,-1.29,-18.64
100,4.94,-108.87,-1.75,-2.76,-1.36,-17.96
110,12.44,-99.56,4.25,-3.30,-1.60,-17.18
120,6.12,-68.81,10.00,-3.30,-1.32,-16.79
130,-4.62,-25.81,14.38,-3.25,-0.85,-16.13
140,-5.37,18.56,18.25,-2.97,-0.45,-16.40
150,-9.25,66.31,21.75,-2.54,-0.40,-17.06
160,-16.56,106.31,22.75,-1.86,-0.18,-18.23
170,-29.62,134.19,18.94,-1.25,0.00,-18.83
180,-46.19,160.50,10.38,-0.72,0.22,-18.59
190,-47.13,169.94,0.88,-0.76,-0.31,-18.62
200,-31.62,159.12,0.00,-0.60,-0.73,-19.03
210,-12.56,137.75,3.06,-0.31,-0.47,-19.78
220,1.50,109.56,2.87,0.39,0.26,-21.15
230,5.37,83.44,0.56,0.85,0.49,-21.34
240,7.50,55.56,-2.44,0.97,0.47,-21.58
250,9.75,25.50,-3.94,1.17,0.41,-21.52
260,8.44,0.62,-4.44,0.88,0.23,-20.77
270,5.75,-11.63,-2.25,0.90,0.34,-20.18
280,1.62,-10.94,-1.50,1.11,0.36,-19.91
290,-5.81,-0.88,-2.31,1.05,0.38,-19.55
300,-12.38,14.63,-3.94,0.97,-0.01,-19.18
310,-15.56,25.19,-5.12,0.78,-0.17,-18.83
320,-12.06,29.06,-5.19,0.94,-0.27,-18.89
330,-14.19,38.81,-5.75,0.89,-0.51,-18.92
340,-20.25,57.69,-3.31,0.97,0.00,-18.39
350,-17.06,72.56,-1.12,1.34,0.17,-18.69
360,-13.44,80.75,2.94,1.58,-0.06,-19.05
370,-11.75,83.69,9.25,2.10,0.02,-19.30
380,-12.69,87.37,14.06,2.90,0.78,-19.21
390,-15.06,96.81,15.69,3.66,1.17,-19.20
400,-10.50,96.44,8.31,4.54,1.86,-19.59
410,0.88,74.37,-7.06,4.83,1.55,-20.78
420,13.50,31.87,-19.06,3.68,0.91,-23.14
430,16.12,-13.38,-24.19,3.11,0.85,-23.90
440,20.31,-64.37,-28.50,2.60,0.93,-24.42
450,28.00,-128.00,-35.06,2.33,0.40,-27.15
460,43.63,-227.75,-43.56,2.09,0.11,-29.03
470,57.50,-365.25,-45.25,1.56,-0.82,-30.78
480,59.75,-519.94,-32.88,1.40,-1.40,-30.73
490,59.63,-662.75,-12.69,1.60,-1.88,-27.01
500,61.25,-767.06,9.88,1.01,-1.19,-24.71
510,63.94,-830.00,25.37,0.07,-0.36,-22.29
