timestamp,gyrox,gyroy,gyroz,accx,accy,accz
10,-2.62,7.81,0.94,0.00,0.00,0.00
20,-3.25,6.44,3.19,0.00,0.00,0.00
30,-1.12,3.37,2.00,0.00,0.00,0.00
40,-0.44,2.75,-0.50,4.51,0.06,-18.86
50,0.81,3.81,-1.69,4.54,0.06,-19.07
60,-2.25,7.56,-2.25,4.70,0.07,-19.36
70,-5.94,7.31,-4.44,4.78,0.18,-19.54
80,-8.88,2.69,-8.06,4.42,-0.12,-19.41
90,-9.81,-2.31,-9.13,3.97,-0.45,-19.02
100,-8.31,-4.75,-6.31,3.61,-0.74,-18.75
110,-6.87,-1.94,-1.94,3.66,-0.63,-18.34
120,-4.62,0.62,1.00,3.78,-0.37,-18.14
130,0.00,-0.13,2.06,3.96,-0.34,-18.18
140,4.12,-2.50,3.12,4.16,-0.28,-18.19
150,6.69,-1.69,3.37,4.39,-0.05,-18.17
160,6.81,4.19,3.00,4.48,0.06,-18.16
170,6.62,11.13,1.62,4.57,0.13,-18.43
180,5.62,15.75,-0.44,4.57,0.07,-19.01
190,3.56,16.37,-2.56,4.38,-0.06,-19.22
200,1.06,12.94,-2.75,4.24,-0.29,-19.39
210,-0.62,7.37,-0.81,4.14,-0.30,-19.31
220,-1.06,2.19,1.12,4.39,-0.11,-19.10
230,-1.50,-1.37,2.31,4.57,0.00,-18.96
240,-0.81,-3.44,2.06,4.69,0.04,-18.80
250,0.62,-4.00,0.37,4.71,0.17,-18.55
260,3.69,-6.50,-1.94,4.64,-0.05,-18.60
270,6.87,-12.13,-3.75,4.56,-0.06,-18.52
280,11.38,-16.44,-7.00,4.23,0.06,-18.70
290,20.87,-27.56,-11.81,4.19,0.36,-19.27
300,40.38,-60.88,-20.81,4.38,0.31,-22.02
310,48.88,-107.06,-29.75,3.66,-0.31,-23.76
320,41.69,-172.00,-32.00,3.50,-0.29,-24.68
330,57.06,-285.12,-36.06,3.38,-0.78,-25.31
340,75.81,-415.37,-33.75,1.15,-2.45,-25.84
350,87.94,-531.44,-17.87,-0.40,-3.35,-26.02
360,75.50,-609.06,8.94,-2.51,-4.45,-25.87
370,39.94,-626.62,51.50,-4.13,-5.59,-24.86
380,-27.69,-588.94,95.00,-3.63,-3.05,-21.45
390,-75.25,-544.56,116.19,-2.97,-1.38,-18.53
400,-82.31,-516.44,112.00,-3.28,-0.10,-16.51
410,-67.75,-495.31,94.50,-3.74,0.89,-14.03
420,-51.31,-467.44,70.56,-5.36,2.27,-12.51
430,-45.25,-426.50,42.94,-6.50,2.52,-10.95
440,-31.75,-389.25,15.19,-7.43,2.21,-10.16
450,-19.62,-361.06,-8.94,-10.45,0.93,-9.28
460,-4.19,-343.00,-23.06,-11.67,0.35,-8.77
470,14.75,-337.94,-30.94,-13.07,0.04,-8.32
480,28.94,-336.87,-35.44,-14.16,-0.64,-7.64
490,31.69,-329.50,-34.88,-16.55,-0.99,-6.76
500,26.87,-313.94,-29.87,-17.23,-0.92,-5.52
510,26.50,-293.69,-24.12,-17.64,-0.98,-4.31
520,21.94,-259.19,-17.06,-17.73,-1.38,-3.27
530,17.75,-212.31,-9.25,-17.66,-0.48,-2.03
540,15.00,-160.37,-6.81,-17.51,0.00,-1.34
550,15.31,-110.56,-11.88,-17.45,0.39,-0.97
560,17.44,-70.44,-23.69,-17.83,0.35,-0.93
570,18.75,-35.94,-34.56,-19.27,-1.14,-0.76
580,-1.81,19.62,-38.81,-20.73,-2.51,-0.55
590,-53.63,116.19,-24.62,-21.58,-3.78,1.16
600,-93.62,235.94,10.00,-21.69,-3.80,1.92
610,-124.62,364.25,47.44,-19.42,-2.14,3.30
620,-130.00,488.75,78.56,-17.23,-1.12,3.25
630,-130.00,488.75,78.56,-14.94,-0.77,2.19
640,-76.12,711.25,117.81,-11.73,-0.60,-0.12
650,-47.06,815.75,134.69,-6.14,-0.28,-4.58
660,-50.56,929.81,155.25,-1.95,-0.18,-7.80
670,-70.69,1034.69,176.69,3.42,1.96,-10.48
680,-60.81,1089.38,169.75,9.50,4.13,-12.16
690,9.50,1057.25,132.25,18.35,5.48,-18.24
700,98.44,940.87,66.25,21.33,6.63,-21.98
710,166.25,786.75,-21.12,21.51,5.94,-24.32
720,200.25,638.56,-90.31,13.45,0.28,-26.69
730,200.25,638.56,-90.31,10.51,-1.86,-26.31
740,162.56,472.44,-91.25,9.35,-2.95,-25.63
750,96.94,453.31,-52.00,9.84,-3.14,-28.66
760,14.50,421.87,-39.44,14.09,2.13,-27.17
770,10.50,300.06,-57.88,13.83,1.28,-26.24
780,10.50,300.06,-57.88,11.98,0.19,-25.44
790,16.25,161.19,-72.31,10.93,-0.63,-23.31
800,-12.88,-24.44,-52.69,10.33,-1.25,-20.15
810,-28.44,-75.75,-34.56,10.45,-1.08,-18.81
820,-35.25,-107.56,-19.56,10.75,-0.50,-17.62
830,-37.81,-124.69,-11.13,10.74,-0.29,-16.43
840,-40.75,-127.19,-4.44,10.96,0.49,-14.53
850,-32.13,-130.44,-1.94,10.72,0.71,-13.89
860,-16.06,-134.50,-1.37,10.56,1.06,-14.05
870,-3.00,-139.12,-3.00,10.45,1.18,-14.75
880,-3.00,-139.12,-3.00,10.79,2.42,-17.03
890,10.81,-164.37,-8.06,10.59,2.61,-19.15
900,67.81,-325.94,-30.81,9.82,2.13,-21.88
910,66.81,-414.69,-38.44,8.75,1.27,-24.13
920,61.88,-512.62,-36.25,6.18,-0.89,-25.33
930,61.88,-512.62,-36.25,4.38,-1.54,-25.06
940,68.81,-607.19,-18.25,2.72,-2.06,-24.79
950,78.37,-728.37,44.00,1.45,-2.60,-24.66
960,62.69,-754.56,78.37,0.44,-2.65,-24.73
970,24.44,-751.12,110.37,-0.09,-1.65,-23.32
980,24.44,-751.12,110.37,-0.21,-1.23,-21.07
990,-13.13,-730.25,130.56,-0.64,-0.13,-19.17
1000,-38.31,-695.50,128.19,-2.72,1.64,-16.28
1010,-40.56,-679.12,109.56,-4.22,2.38,-14.24
1020,-54.50,-644.00,83.44,-5.71,3.42,-11.64
1030,-54.50,-644.00,83.44,-9.60,3.54,-6.91
1040,-66.87,-598.50,50.00,-11.93,2.67,-4.17
1050,-55.00,-497.44,3.12,-13.89,1.46,-1.38
1060,-35.88,-429.06,4.06,-15.14,0.91,0.75
1070,-14.19,-347.19,12.25,-14.77,1.82,2.33
1080,-14.19,-347.19,12.25,-14.85,3.29,2.73
1090,-4.44,-251.94,12.63,-15.32,3.86,3.13
1100,6.37,-83.44,-21.31,-16.57,3.38,3.09
1110,13.63,-11.44,-33.94,-16.76,0.42,2.71
1120,18.00,66.06,-36.63,-17.07,0.57,0.84
1130,18.00,66.06,-36.63,-17.07,0.57,0.84
1140,12.38,136.69,-33.44,-16.48,2.12,-2.67
1150,25.37,172.69,-50.56,-17.26,1.31,-5.63
1160,29.62,156.62,-59.50,-18.00,0.54,-6.44
1170,21.37,146.25,-61.31,-19.31,-0.43,-6.69
1180,21.37,146.25,-61.31,-19.31,-0.43,-6.69
1190,2.56,156.75,-49.44,-20.35,-1.10,-5.99
1200,-31.12,267.19,0.00,-19.74,-1.36,-2.09
1210,-66.62,393.69,28.62,-18.56,-1.21,-1.01
1220,-105.19,553.00,59.63,-16.65,-1.09,-0.59
1230,-105.19,553.00,59.63,-16.65,-1.09,-0.59
