timestamp,gyrox,gyroy,gyroz,accx,accy,accz
10,12.88,-50.81,-4.56,0.00,0.00,0.00
20,23.94,-33.13,5.19,0.00,0.00,0.00
30,17.19,5.06,15.06,0.00,0.00,0.00
40,12.69,32.06,22.50,-0.38,2.28,-14.61
50,16.12,31.50,19.56,0.28,2.86,-15.33
60,17.00,21.06,13.38,0.10,2.76,-15.58
70,18.12,11.13,10.19,-0.48,2.09,-14.38
80,25.37,7.06,9.63,-0.74,1.62,-13.73
90,31.12,16.62,13.31,-0.70,1.33,-13.27
100,39.88,32.94,17.56,-0.11,1.43,-13.05
110,53.31,50.00,17.06,1.22,2.38,-13.69
120,68.56,67.12,11.31,1.74,2.66,-14.71
130,78.50,86.12,3.37,1.69,2.56,-15.95
140,79.87,105.56,-1.12,1.02,1.94,-18.99
150,76.69,115.37,-2.12,0.89,1.52,-20.44
160,70.62,111.06,-0.37,1.02,1.46,-21.45
170,64.50,93.00,1.00,1.23,1.38,-22.13
180,61.56,65.87,0.44,1.59,1.36,-22.20
190,58.81,40.81,-2.19,1.73,1.10,-21.91
200,52.75,25.37,-6.00,1.94,0.66,-21.15
210,50.50,19.19,-8.88,1.63,0.19,-20.77
220,51.31,21.25,-9.88,2.02,-0.19,-20.07
230,56.63,25.44,-12.00,2.19,-0.13,-20.29
240,59.56,33.00,-15.00,2.24,-0.11,-20.85
250,56.81,41.19,-16.87,2.13,-0.41,-21.51
260,54.38,47.13,-17.12,1.26,-0.92,-22.33
270,48.75,56.00,-14.88,0.81,-1.58,-22.96
280,41.38,62.13,-5.94,0.59,-2.03,-23.39
290,34.50,62.00,5.69,1.05,-1.79,-24.16
300,24.94,56.00,11.38,2.35,-0.74,-25.71
310,10.94,44.56,11.38,2.94,-0.61,-26.22
320,-3.44,24.62,7.62,3.27,-0.52,-26.24
330,-15.63,1.19,1.62,3.50,-0.59,-25.95
340,-24.31,-18.25,-4.12,3.43,-0.69,-24.11
350,-28.31,-26.75,-8.69,3.08,-0.86,-23.19
360,-28.50,-22.87,-9.25,2.93,-0.84,-22.66
370,-28.62,-13.06,-7.69,2.99,-0.46,-22.85
380,-36.25,-5.56,-8.44,2.70,-0.22,-24.24
390,-45.31,-12.19,-8.75,2.44,-0.35,-24.57
400,-51.06,-33.13,-7.31,2.21,-0.46,-24.39
410,-54.50,-57.00,-4.87,1.92,-0.65,-23.69
420,-57.63,-72.12,-0.75,2.22,-0.78,-21.78
430,-60.19,-78.19,1.44,2.72,-0.36,-20.67
440,-60.06,-74.56,-0.88,2.83,0.12,-19.80
450,-58.94,-61.13,-4.62,2.76,0.49,-18.80
460,-55.56,-45.06,-7.37,2.65,0.93,-19.07
470,-56.44,-29.31,-10.38,2.47,1.23,-19.38
480,-58.50,-19.69,-13.81,2.09,1.49,-19.83
490,-63.19,-17.75,-16.69,1.31,1.28,-20.76
500,-68.69,-25.44,-17.06,1.08,1.52,-20.84
510,-71.87,-41.31,-17.69,0.82,1.29,-20.67
520,-76.12,-57.13,-16.50,0.64,1.28,-20.14
530,-76.56,-73.56,-15.94,0.97,1.12,-19.36
540,-78.00,-90.50,-17.56,0.77,1.59,-17.56
550,-67.87,-112.06,-18.50,0.16,0.72,-16.97
560,-56.44,-121.94,-12.44,0.09,0.94,-15.35
570,-48.38,-116.19,-9.06,0.08,1.73,-13.86
580,-40.44,-102.44,-7.44,0.05,2.03,-13.15
590,-24.00,-90.31,-10.88,-0.24,2.41,-12.58
600,-17.94,-65.12,-11.56,-1.35,1.60,-13.02
610,-21.25,-34.56,-3.06,-2.34,1.01,-12.98
620,-16.87,-15.44,6.31,-2.75,0.82,-13.55
630,-16.87,-15.44,6.31,-2.37,0.98,-13.64
640,-8.13,0.06,29.37,-1.42,1.79,-13.53
650,-1.50,-0.94,28.62,-0.13,3.07,-13.28
660,5.62,1.37,23.12,-0.01,3.13,-13.18
670,10.50,9.63,18.19,0.00,3.08,-13.06
680,17.31,20.06,14.63,-0.02,2.86,-12.88
690,29.81,30.75,12.25,-0.30,2.47,-12.88
700,43.44,46.00,11.81,-0.29,2.37,-13.36
710,56.13,63.88,10.81,-0.25,2.43,-14.05
720,67.25,81.44,9.69,-0.41,2.20,-15.06
730,67.25,81.44,9.69,-0.62,1.73,-18.11
740,68.12,113.12,21.94,-0.06,2.15,-19.29
750,64.87,114.87,26.87,0.54,2.57,-20.50
760,57.00,109.62,27.19,1.59,3.59,-22.21
770,46.69,99.25,22.50,2.13,3.67,-22.63
780,46.69,99.25,22.50,2.05,3.36,-23.08
790,34.75,85.12,15.31,2.23,3.04,-22.64
800,33.94,26.00,-0.13,1.94,1.95,-21.58
810,43.13,-5.06,-6.75,1.40,1.41,-20.51
820,52.06,-13.19,-8.13,1.06,1.28,-19.54
830,52.06,-13.19,-8.13,0.83,1.07,-19.43
840,55.69,4.06,-6.12,1.08,1.15,-20.85
850,47.00,52.31,3.56,1.39,1.09,-22.00
860,42.44,52.63,4.62,1.87,1.10,-23.00
870,33.94,40.38,1.25,1.89,0.89,-23.59
880,33.94,40.38,1.25,1.56,0.49,-23.02
890,27.44,23.44,0.00,1.73,0.60,-22.57
900,19.69,12.75,0.19,1.90,0.74,-22.41
910,16.00,17.81,-2.25,2.02,0.59,-22.45
920,15.63,20.44,-4.31,1.92,0.33,-22.99
930,15.63,20.44,-4.31,1.92,0.33,-22.99
940,15.88,22.12,-5.69,1.66,0.06,-24.24
950,0.81,31.06,-1.75,1.75,0.20,-24.86
960,-9.63,29.12,1.25,2.29,0.93,-26.01
970,-24.87,23.94,0.94,2.57,1.25,-26.37
980,-24.87,23.94,0.94,2.61,1.32,-26.38
990,-40.56,10.69,-3.44,2.61,1.32,-26.38
1000,-55.13,-38.19,-8.38,2.12,0.66,-24.25
1010,-56.75,-58.25,-7.12,2.15,0.74,-23.11
1020,-57.31,-66.69,-5.56,2.24,1.06,-21.95
1030,-57.31,-66.69,-5.56,2.24,1.06,-21.95
1040,-54.81,-66.00,-5.87,2.77,1.96,-20.53
1050,-53.63,-55.13,-12.50,2.67,2.02,-20.30
1060,-52.88,-51.31,-15.31,2.38,2.13,-20.12
1070,-56.19,-44.56,-17.19,2.17,2.44,-19.84
1080,-56.19,-44.56,-17.19,2.17,2.44,-19.84
1090,-59.56,-38.50,-21.44,1.84,2.45,-19.75
1100,-64.19,-42.56,-32.38,1.34,2.02,-19.82
1110,-53.75,-58.25,-31.81,-0.28,0.74,-18.24
1120,-47.88,-62.63,-20.12,-0.02,1.43,-17.75
1130,-47.88,-62.63,-20.12,-0.02,1.43,-17.75
1140,-49.50,-55.13,-12.75,0.75,2.50,-17.29
1150,-47.38,-49.63,-18.44,0.76,2.89,-17.27
1160,-46.50,-54.69,-24.06,0.08,2.46,-17.20
1170,-42.63,-62.56,-26.44,-0.30,2.40,-16.15
1180,-42.63,-62.56,-26.44,-0.30,2.40,-16.15
1190,-35.81,-65.44,-23.94,-1.52,1.41,-16.02
1200,-31.62,-32.81,4.75,-1.54,1.70,-14.35
1210,-31.62,-11.63,9.50,-1.02,2.29,-14.39
1220,-27.50,-4.44,9.38,-0.84,2.36,-14.63
1230,-27.50,-4.44,9.38,-0.84,2.36,-14.63
1240,-14.75,-10.44,8.44,-1.51,2.09,-14.21
1250,2.75,0.25,26.62,-1.55,2.56,-14.37
1260,-5.44,19.56,35.94,-0.92,3.22,-14.97
1270,-6.87,19.06,34.75,1.16,4.64,-15.76
1280,-6.87,19.06,34.75,1.16,4.64,-15.76
1290,-5.12,3.31,25.31,1.33,4.48,-15.57
1300,1.75,-11.44,8.81,0.37,3.85,-13.62
1310,9.94,4.00,8.00,-0.86,2.46,-12.58
1320,23.94,25.06,13.31,-0.96,2.19,-12.47
1330,23.94,25.06,13.31,-0.96,2.19,-12.47
1340,41.50,48.31,21.37,-0.51,2.37,-13.14
1350,61.13,90.12,23.56,1.14,3.65,-16.86
1360,65.37,99.69,21.19,1.41,3.96,-18.26
1370,65.37,102.12,17.19,1.44,4.11,-19.46
1380,65.37,102.12,17.19,1.44,4.11,-19.46
1390,57.06,99.00,15.31,0.93,3.61,-21.84
1400,44.50,84.25,16.25,1.32,3.11,-22.49
1410,37.56,53.31,16.12,1.46,3.00,-21.91
1420,34.13,19.31,14.63,1.29,2.48,-19.83
1430,32.69,-1.25,10.94,1.29,2.48,-19.83
1440,34.00,-2.69,9.44,1.14,2.19,-19.14
1450,33.63,11.63,11.81,1.94,2.82,-19.20
1460,31.25,30.94,13.31,2.44,3.08,-20.69
1470,28.00,45.19,11.44,2.04,2.55,-21.12
1480,20.87,47.38,7.81,2.04,2.55,-21.12
1490,20.12,31.50,6.62,1.98,2.14,-21.19
1500,24.87,6.87,6.31,2.04,1.84,-19.86
1510,29.00,-11.06,4.06,1.89,1.66,-19.28
1520,31.06,-16.44,2.25,1.80,1.60,-18.94
1530,31.94,-6.56,3.12,1.80,1.60,-18.94
1540,29.62,13.81,6.12,1.89,1.51,-18.99
1550,26.69,32.56,7.19,2.37,1.99,-20.68
1560,25.25,45.94,5.19,2.31,1.89,-21.44
1570,20.37,55.75,4.56,2.42,1.84,-22.40
1580,13.50,54.38,4.56,2.42,1.84,-22.40
1590,8.94,40.00,3.69,2.43,1.51,-22.92
1600,7.12,22.19,3.56,2.58,1.40,-22.62
1610,3.12,11.31,3.62,3.00,1.83,-21.97
1620,4.44,5.31,3.81,3.17,2.02,-22.26
1630,8.31,6.69,1.31,3.17,2.02,-22.26
1640,8.44,15.31,-2.37,3.26,2.16,-22.66
1650,5.56,27.75,-6.19,2.92,2.00,-24.94
1660,-2.75,41.38,-9.19,2.94,1.88,-25.77
1670,-9.69,42.38,-8.94,3.10,2.09,-25.97
1680,-16.69,30.44,-7.44,3.10,2.09,-25.97
1690,-22.31,12.44,-9.94,3.52,2.40,-26.00
1700,-32.06,-4.25,-15.25,2.50,1.77,-24.49
1710,-44.50,-19.87,-17.94,2.82,1.38,-24.25
1720,-47.06,-38.88,-14.50,3.31,2.01,-23.00
1730,-48.50,-55.38,-11.69,3.31,2.01,-23.00
1740,-48.19,-64.62,-13.56,3.62,2.74,-21.48
1750,-52.13,-60.06,-16.62,2.99,2.44,-19.82
1760,-49.69,-54.81,-17.81,2.81,2.34,-19.68
1770,-43.25,-50.63,-16.81,2.90,2.76,-19.30
1780,-42.31,-45.25,-18.06,2.90,2.76,-19.30
1790,-37.44,-47.31,-20.50,2.55,2.76,-19.20
1800,-32.06,-51.94,-22.69,1.95,2.64,-18.37
1810,-24.62,-55.00,-24.44,1.80,2.70,-17.97
1820,-26.62,-44.50,-22.12,1.97,3.01,-17.83
1830,-30.94,-30.56,-21.94,1.97,3.01,-17.83
1840,-29.12,-24.56,-24.12,1.66,3.11,-17.84
1850,-32.94,-18.75,-23.94,0.82,2.77,-18.30
1860,-32.56,-21.75,-23.31,0.51,2.62,-18.39
1870,-36.63,-25.00,-19.50,0.64,2.90,-18.15
1880,-41.31,-30.44,-15.13,0.64,2.90,-18.15
1890,-41.44,-44.06,-15.19,0.87,3.14,-17.83
1900,-38.31,-59.00,-18.62,-0.17,2.53,-15.75
1910,-31.06,-68.31,-21.12,-0.67,2.11,-15.05
1920,-24.81,-67.12,-19.50,-1.10,1.62,-14.37
1930,-18.94,-59.31,-13.75,-1.10,1.62,-14.37
1940,-12.19,-49.69,-5.31,-0.93,1.92,-13.91
1950,-0.69,-44.13,0.50,-0.54,2.73,-14.42
1960,2.81,-33.38,1.31,-0.89,2.67,-14.16
1970,4.19,-21.19,3.81,-1.18,2.50,-14.63
1980,6.62,-10.38,8.75,-1.18,2.50,-14.63
1990,3.62,1.87,17.44,-0.99,2.74,-14.63
2000,3.75,7.44,22.56,-0.35,3.00,-14.94
2010,1.94,6.62,23.50,-0.25,2.81,-14.50
2020,4.37,-1.62,24.69,-0.24,2.40,-13.87
2030,8.50,-10.69,27.06,-0.24,2.40,-13.87
2040,17.06,-17.00,30.87,0.04,2.47,-13.06
2050,29.62,-15.19,30.37,0.89,2.92,-11.41
2060,42.56,1.37,25.50,1.01,2.80,-11.36
2070,58.63,27.31,21.37,0.90,2.70,-12.05
2080,75.31,58.19,18.69,0.90,2.70,-12.05
2090,86.44,90.94,19.06,0.68,2.50,-14.60
2100,94.25,115.06,22.75,1.18,2.26,-18.43
2110,91.50,131.19,32.13,2.18,2.90,-19.89
2120,82.12,132.56,37.69,3.68,3.81,-21.86
2130,70.31,119.75,35.13,3.68,3.81,-21.86
2140,59.19,96.94,25.25,4.24,4.08,-22.23
2150,50.44,68.94,8.81,3.61,2.90,-22.13
2160,41.25,42.94,-3.87,2.11,1.33,-20.44
2170,39.63,20.44,-8.88,1.84,0.88,-19.95
2180,43.25,10.63,-6.12,1.84,0.88,-19.95
2190,45.50,15.88,-0.50,1.95,0.70,-19.59
2200,46.88,30.75,3.44,2.37,0.61,-20.89
2210,42.94,48.50,5.06,2.44,0.31,-21.45
2220,43.00,52.69,7.81,3.00,0.31,-22.19
2230,46.25,44.38,11.25,3.00,0.31,-22.19
2240,45.06,30.75,9.50,3.64,0.85,-22.91
2250,39.69,17.50,4.31,3.52,0.60,-22.75
2260,33.56,9.19,0.44,3.23,0.23,-22.55
2270,28.37,5.37,-1.00,3.11,0.02,-22.35
2280,24.00,3.69,-1.75,2.77,-0.39,-21.97
2290,19.00,5.25,-1.62,2.47,-0.71,-21.72
2300,17.75,6.00,2.37,2.21,-0.98,-21.42
2310,14.94,13.19,10.63,2.25,-0.89,-21.69
2320,8.75,21.12,17.25,4.02,0.43,-22.43
2330,6.12,20.12,15.94,4.64,1.15,-22.93
2340,1.62,15.06,7.87,4.89,1.19,-23.13
2350,-0.06,8.19,0.19,4.64,0.97,-22.98
2360,-1.62,10.38,-3.75,4.05,0.91,-23.29
2370,-8.31,23.19,-5.62,3.73,0.75,-23.76
2380,-16.75,35.69,-5.81,3.64,0.66,-24.46
2390,-24.81,37.00,-5.56,3.84,0.79,-25.23
2400,-32.56,24.56,-6.12,4.21,1.27,-26.22
2410,-38.31,2.75,-8.69,4.36,1.31,-26.17
2420,-43.69,-18.31,-10.88,4.63,1.65,-25.55
2430,-47.75,-30.06,-14.44,4.80,2.11,-24.74
2440,-54.13,-27.50,-17.75,4.81,2.15,-23.99
2450,-62.69,-21.00,-24.12,4.49,2.75,-23.95
