timestamp,gyrox,gyroy,gyroz,accx,accy,accz
10,-3.19,-78.12,-16.56,0.00,0.00,0.00
20,-1.00,-77.94,-21.00,0.00,0.00,0.00
30,-7.44,-69.75,-28.94,0.00,0.00,0.00
40,-11.94,-63.13,-25.56,1.04,0.15,-18.35
50,-17.12,-59.06,-21.00,1.15,0.76,-18.27
60,-21.81,-56.75,-20.12,0.86,0.97,-18.02
70,-23.06,-55.38,-17.87,0.77,1.15,-17.49
80,-23.50,-53.69,-17.81,0.65,1.19,-17.15
90,-23.00,-51.63,-18.06,0.20,1.19,-16.85
100,-20.44,-50.63,-17.37,0.01,1.22,-16.48
110,-14.94,-50.19,-14.00,-0.63,0.63,-16.04
120,-10.38,-47.63,-8.50,-0.66,0.71,-16.01
130,-8.25,-43.75,-5.00,-0.83,0.58,-16.05
140,-8.44,-39.06,-1.81,-0.88,0.71,-16.03
150,-7.00,-36.13,-0.19,-1.09,1.27,-15.73
160,-5.81,-35.00,-0.56,-1.25,1.16,-15.44
170,-4.37,-33.63,0.00,-1.75,0.76,-14.68
180,-5.00,-25.31,2.87,-1.79,0.76,-13.87
190,-5.00,-12.00,5.37,-1.99,0.56,-13.56
200,0.75,0.75,10.69,-2.03,0.42,-13.55
210,6.44,13.25,17.44,-1.90,0.70,-13.94
220,9.56,21.19,21.19,-1.45,1.59,-14.85
230,9.00,25.31,22.25,-1.40,1.84,-15.07
240,8.81,29.00,23.00,-1.04,2.32,-15.32
250,4.81,35.31,20.62,-0.60,2.62,-15.84
260,-0.25,43.31,14.69,0.23,3.28,-16.34
270,-2.75,51.31,4.69,0.39,3.19,-16.35
280,-6.12,60.88,-3.19,0.36,2.41,-17.09
290,-5.94,69.56,-5.12,0.37,1.90,-17.04
300,-3.25,74.56,-7.31,0.55,0.58,-18.66
310,-2.31,75.50,-3.19,0.71,0.70,-18.38
320,7.87,70.87,1.12,0.85,0.52,-19.48
330,11.69,64.19,7.62,1.16,0.34,-19.85
340,17.31,54.56,16.31,0.74,-0.42,-20.37
350,23.19,42.38,33.00,1.16,0.42,-20.48
360,34.31,28.19,40.38,1.77,1.38,-20.49
