timestamp,gyrox,gyroy,gyroz,accx,accy,accz
10,-0.06,-0.19,-0.13,0.00,0.00,0.00
20,-0.13,-0.25,-0.13,0.00,0.00,0.00
30,-0.06,-0.31,0.00,0.00,0.00,0.00
40,0.00,-0.13,-0.06,-0.35,-0.45,-19.71
50,-0.06,-0.25,-0.19,-0.37,-0.44,-19.73
60,-0.13,-0.25,0.00,-0.35,-0.45,-19.71
70,-0.06,-0.25,-0.06,-0.35,-0.45,-19.69
80,-0.06,-0.13,-0.06,-0.37,-0.45,-19.72
90,-0.25,-0.19,-0.06,0.00,-0.01,-0.12
100,-0.06,-0.25,-0.19,-0.01,0.00,-0.11
110,-0.13,-0.13,0.00,-0.02,0.00,-0.12
120,0.00,-0.06,0.00,0.00,0.00,-0.11
130,-0.06,-0.25,0.00,0.00,0.01,-0.09
140,-0.13,-0.25,-0.13,0.00,0.00,-0.11
150,0.06,-0.19,0.00,-0.01,0.00,-0.17
160,-0.06,-0.25,-0.13,0.00,0.00,-0.14
170,-0.06,-0.25,0.00,0.00,0.01,-0.11
180,-0.06,-0.19,-0.06,0.00,0.03,-0.10
190,-0.06,-0.13,-0.13,0.00,0.00,-0.14
200,-0.13,-0.25,0.00,-0.02,0.00,-0.12
210,0.00,-0.25,-0.19,0.00,-0.02,-0.15
220,0.06,-0.19,-0.13,-0.01,0.00,-0.13
230,-0.13,-0.31,0.00,0.00,0.00,-0.10
240,0.06,-0.19,0.00,-0.02,0.00,-0.11
250,-0.13,-0.31,-0.06,0.00,-0.03,-0.15
260,0.00,-0.31,0.06,0.00,-0.02,-0.12
270,-0.25,-0.19,-0.06,-0.01,-0.01,-0.11
280,0.06,-0.25,0.00,0.00,-0.01,-0.12
290,0.00,-0.31,-0.13,0.00,0.01,-0.10
300,-0.06,0.00,-0.25,-0.01,0.00,-0.16
310,-0.06,-0.19,-0.06,0.00,0.00,-0.09
320,0.00,-0.31,0.06,0.00,-0.01,-0.16
330,-0.06,-0.19,0.00,0.00,0.00,-0.08
340,0.00,-0.25,-0.25,0.01,0.00,-0.12
350,0.00,-0.44,0.00,0.01,-0.01,-0.12
360,-0.19,-0.37,-0.13,0.00,-0.01,-0.12
370,-0.13,-0.19,-0.13,-0.02,0.00,-0.11
380,0.00,-0.19,-0.06,0.00,0.00,-0.11
390,0.00,-0.19,-0.13,0.00,-0.01,-0.14
400,-0.06,-0.06,0.00,-0.03,0.00,-0.11
410,-0.13,-0.25,0.00,0.00,0.00,-0.12
420,-0.06,-0.19,-0.13,-0.02,0.00,-0.13
430,-0.13,-0.25,-0.13,0.00,0.00,-0.10
440,0.00,-0.13,-0.06,-0.01,0.01,-0.10
450,-0.06,-0.13,0.00,-0.01,0.00,-0.09
460,0.13,-0.25,-0.13,0.00,-0.01,-0.12
470,-0.19,-0.31,-0.13,0.00,0.00,-0.12
480,0.00,-0.31,0.06,0.00,0.00,-0.11
490,-0.06,-0.19,0.00,0.00,0.01,-0.12
500,-0.06,-0.13,-0.06,0.00,0.01,-0.14
510,0.00,-0.31,-0.31,0.00,0.01,-0.12
520,-0.13,-0.19,-0.06,0.00,-0.01,-0.14
530,0.00,-0.19,-0.06,0.00,-0.02,-0.15
540,-0.06,-0.25,-0.06,-0.01,0.00,-0.13
550,0.00,-0.25,-0.06,0.00,-0.02,-0.15
560,-0.13,-0.06,0.06,-0.02,-0.01,-0.14
570,0.00,-0.19,-0.19,0.00,-0.01,-0.13
580,-0.13,-0.25,0.06,0.00,0.02,-0.11
590,0.00,-0.25,-0.06,0.00,0.00,-0.11
600,-0.13,-0.25,-0.06,0.00,0.01,-0.18
610,-0.06,-0.13,0.13,0.00,0.00,-0.13
