timestamp,gyrox,gyroy,gyroz,accx,accy,accz
10,-0.06,-0.13,-0.31,0.00,0.00,0.00
20,-0.13,0.00,0.00,0.00,0.00,0.00
30,-0.06,-0.25,-0.06,0.00,0.00,0.00
40,0.06,-0.06,0.00,-0.36,-0.45,-19.73
50,0.06,-0.37,-0.19,-0.34,-0.45,-19.76
60,0.00,-0.25,-0.06,-0.37,-0.44,-19.71
70,-0.13,-0.31,0.00,-0.36,-0.44,-19.69
80,-0.06,-0.31,-0.06,-0.36,-0.46,-19.72
90,-0.13,-0.19,-0.13,-0.01,-0.01,-0.06
100,-0.06,-0.31,0.00,0.01,-0.02,-0.15
110,0.06,-0.13,-0.13,0.00,-0.01,-0.08
120,-0.25,-0.37,0.00,0.00,0.00,-0.11
130,-0.06,-0.25,0.00,0.00,0.02,-0.10
140,-0.19,-0.31,0.06,-0.01,0.02,-0.12
150,0.06,-0.06,-0.13,0.00,-0.01,-0.13
160,-0.19,-0.25,-0.13,-0.01,0.01,-0.07
170,-0.06,-0.13,-0.06,0.00,-0.01,-0.14
180,-0.25,-0.19,-0.13,-0.01,0.01,-0.13
190,-0.06,-0.13,-0.06,0.01,0.00,-0.12
200,0.00,-0.31,-0.06,0.00,0.01,-0.15
210,-0.19,-0.31,0.06,0.00,-0.01,-0.15
220,0.00,-0.25,-0.06,0.00,0.00,-0.11
230,-0.06,-0.25,-0.06,0.00,0.01,-0.10
240,0.00,-0.19,-0.13,-0.01,-0.02,-0.12
250,-0.19,-0.19,-0.06,0.01,0.00,-0.15
260,-0.06,-0.25,-0.06,0.00,-0.01,-0.13
270,-0.13,-0.13,0.06,0.00,0.00,-0.09
280,0.00,-0.13,-0.06,0.00,-0.02,-0.12
290,-0.19,-0.19,0.00,0.00,-0.01,-0.10
300,-0.06,-0.06,-0.13,0.00,0.00,-0.16
310,-0.13,-0.19,0.00,0.00,0.01,-0.10
320,0.00,-0.25,-0.06,0.00,0.00,-0.10
330,-0.06,-0.13,-0.06,0.00,0.02,-0.07
340,-0.13,-0.31,0.06,0.00,0.01,-0.13
350,-0.06,-0.37,0.00,0.00,0.00,-0.11
360,-0.13,-0.19,0.00,0.00,0.00,-0.14
370,-0.06,0.00,0.06,0.00,0.01,-0.11
380,-0.13,-0.19,0.00,0.00,0.02,-0.11
390,0.06,-0.31,-0.06,0.00,0.00,-0.11
400,-0.13,-0.19,-0.06,0.00,0.03,-0.12
410,-0.06,-0.13,-0.06,0.00,0.01,-0.10
420,-0.06,-0.19,-0.19,-0.03,0.01,-0.08
430,-0.06,-0.19,-0.06,0.00,0.00,-0.12
440,0.00,-0.37,-0.13,0.02,-0.01,-0.13
450,0.00,-0.06,-0.06,0.00,0.00,-0.14
460,0.00,-0.19,-0.06,0.00,0.00,-0.13
470,-0.06,-0.13,0.00,0.00,0.01,-0.13
480,-0.19,-0.31,-0.13,0.02,0.00,-0.14
490,-0.19,-0.19,-0.13,0.00,0.00,-0.15
500,0.00,-0.25,-0.06,0.00,0.00,-0.13
510,0.06,-0.25,-0.19,0.00,-0.01,-0.11
520,0.00,-0.19,0.13,-0.01,0.00,-0.12
530,-0.13,-0.13,0.00,0.00,0.00,-0.12
540,-0.06,-0.19,-0.06,0.00,0.02,-0.11
550,0.00,-0.13,-0.06,0.00,0.01,-0.11
560,-0.13,-0.13,-0.06,-0.01,0.00,-0.11
570,0.00,-0.13,0.06,0.00,0.00,-0.12
580,-0.06,-0.13,-0.13,0.00,0.02,-0.10
590,-0.19,-0.19,-0.06,0.00,0.00,-0.09
600,0.00,-0.25,0.00,0.00,0.03,-0.12
610,-0.13,-0.19,0.00,-0.01,0.01,-0.12
620,-0.06,-0.13,-0.06,-0.01,0.00,-0.10
630,-0.13,-0.19,0.00,0.02,0.00,-0.14
640,0.00,-0.19,0.00,0.02,0.02,-0.09
650,-0.19,-0.37,-0.19,0.00,0.01,-0.11
660,0.06,-0.06,0.00,0.00,-0.03,-0.12
670,-0.31,-0.13,0.00,0.00,0.01,-0.11
680,-0.06,-0.13,-0.13,0.00,0.00,-0.09
690,-0.06,0.13,0.06,0.02,0.00,-0.11
700,0.00,-0.06,-0.06,0.01,0.00,-0.17
710,0.13,-0.06,-0.06,-0.02,0.01,-0.09
720,-0.06,-0.06,-0.13,0.00,0.01,-0.10
730,0.19,0.00,0.00,0.01,0.00,-0.12
740,-0.19,-0.06,0.06,-0.02,0.01,-0.14
750,0.06,0.06,-0.06,-0.01,0.00,-0.13
760,0.00,-0.06,-0.19,0.00,0.01,-0.08
770,-0.13,0.00,0.00,0.02,0.00,-0.14
780,0.00,0.00,0.00,0.00,0.00,-0.11
790,0.13,0.13,0.13,0.02,0.00,-0.10
800,-0.06,0.00,-0.13,0.00,0.00,-0.12
810,0.06,-0.06,0.00,0.01,0.00,-0.13
820,0.06,0.06,0.00,0.01,0.00,-0.09
830,0.00,0.13,0.06,0.00,0.02,-0.12
840,0.06,0.06,-0.13,0.03,0.00,-0.12
850,0.00,0.00,-0.06,0.00,0.00,-0.14
860,0.00,0.13,-0.06,0.00,0.00,-0.11
870,0.06,0.00,0.06,0.01,0.00,-0.09
880,0.06,-0.06,-0.06,0.00,0.01,-0.11
890,0.06,-0.06,0.06,0.00,0.00,-0.09
900,0.00,-0.06,-0.06,0.01,0.00,-0.14
910,0.00,-0.06,0.00,0.00,0.00,-0.15
920,0.00,0.00,0.06,0.01,0.00,-0.11
930,-0.13,-0.13,0.00,0.00,0.00,-0.12
940,0.06,0.00,-0.13,-0.01,0.00,-0.12
950,0.00,0.06,-0.06,0.00,0.00,-0.12
960,0.00,-0.06,0.00,-0.02,0.00,-0.12
970,0.00,0.19,0.06,0.01,0.00,-0.13
980,-0.06,-0.06,0.06,0.00,0.01,-0.09
990,-0.06,-0.13,0.00,0.00,0.00,-0.09
1000,0.00,0.00,0.13,-0.01,0.01,-0.13
1010,-0.06,-0.25,0.06,0.00,0.00,-0.12
1020,0.00,0.00,-0.06,-0.02,0.00,-0.09
1030,-0.13,0.06,-0.13,-0.01,0.01,-0.11
1040,0.00,-0.06,0.06,0.00,-0.02,-0.12
1050,-0.06,-0.06,0.00,0.01,0.00,-0.11
1060,0.13,0.00,-0.13,0.00,-0.02,-0.13
1070,0.00,0.13,-0.06,0.00,-0.02,-0.10
1080,-0.06,-0.13,0.00,0.00,-0.02,-0.11
1090,0.06,0.00,0.06,0.02,0.05,-0.09
1100,-0.06,0.06,-0.06,0.00,-0.02,-0.15
1110,0.06,-0.06,-0.13,0.00,0.00,-0.14
1120,-0.06,0.00,0.00,0.00,0.00,-0.12
1130,0.13,0.06,0.00,0.00,0.00,-0.12
1140,-0.19,-0.06,0.06,0.00,-0.01,-0.13
1150,0.00,-0.06,0.00,0.00,-0.01,-0.16
1160,-0.13,-0.06,-0.06,-0.01,0.01,-0.12
1170,0.19,0.19,-0.13,0.00,0.00,-0.15
1180,0.19,0.19,-0.13,0.01,0.01,-0.13
1190,0.00,0.06,0.06,0.00,-0.02,-0.13
1200,0.00,0.19,0.00,0.00,0.02,-0.10
1210,0.13,0.19,-0.06,0.00,-0.01,-0.13
1220,0.06,-0.06,0.00,0.01,0.00,-0.09
1230,0.00,0.06,0.00,0.00,0.02,-0.10
1240,0.13,0.13,0.06,0.00,0.00,-0.10
1250,-0.06,0.13,0.06,0.01,0.00,-0.16
1260,0.19,-0.06,0.00,0.01,0.00,-0.14
1270,-0.06,-0.13,0.19,0.00,0.00,-0.13
1280,-0.06,-0.13,0.13,0.01,-0.01,-0.10
1290,0.00,0.00,0.00,0.00,0.00,-0.08
1300,0.00,0.13,-0.13,0.00,0.01,-0.12
