timestamp,gyrox,gyroy,gyroz,accx,accy,accz
10,-39.06,209.37,-58.31,-7.46,-4.72,-24.35
20,-81.62,206.75,-54.88,-6.69,-4.87,-23.07
30,-81.62,206.75,-54.88,-6.42,-3.91,-20.36
40,-121.62,198.31,-53.06,-6.11,-3.89,-19.55
50,-121.19,211.69,-45.88,-5.7,-4.17,-18.93
60,-119.25,216.44,-48.75,-5.63,-4.09,-18.41
70,-121.06,220.44,-51.56,-5.28,-3.48,-16.6
80,-121.06,220.44,-51.56,-4.84,-3.17,-15.61
90,-122.06,222.56,-53.31,-4.41,-2.58,-14.51
100,-97.75,215.06,-57.69,-3.83,-1.72,-12.4
110,-67.44,205.62,-58.38,-3.24,-1.4,-11.78
120,-33.69,193.44,-59.44,-2.81,-1.09,-11.34
130,-33.69,193.44,-59.44,-2.42,-0.77,-10.91
140,-1.5,178.25,-59.69,-1.56,-0.74,-10.5
150,42.44,137.25,-61.13,-1.26,-0.69,-10.54
160,50.38,115.5,-68.81,-1.18,-0.03,-10.55
170,57.13,96.31,-69.75,-1.54,1.8,-10.18
180,57.13,96.31,-69.75,-1.54,1.8,-10.18
190,61.63,69.31,-59.75,-1.35,2.16,-10.73
200,28.75,14,-28.25,-1.06,2.2,-13.33
210,5.62,7.06,-12.94,-0.95,2.18,-14.58
220,-9.44,8.25,-1.75,-0.94,2.18,-14.54
230,-9.44,8.25,-1.75,-0.94,2.18,-14.54
240,-19.06,6.62,2.81,-1.03,2.59,-14.58
250,-32.69,-9.75,13.81,-1.57,4.48,-16.18
260,-32.44,-16.31,22.56,-1.91,5.23,-17.09
270,-18.94,-11.81,32.06,-2.6,6.87,-18.01
280,-18.94,-11.81,32.06,-2.6,6.87,-18.01
290,12.81,2.75,41.31,-3.26,7.94,-18.12
300,81.19,30.81,86.44,-4.04,9.13,-19.26
310,78.87,42,119.5,-3.81,8.08,-20.59
320,47.44,49.94,150.44,-3.5,7.19,-20.33
330,47.44,49.94,150.44,-3.5,7.19,-20.33
340,11.19,53.81,178.81,-3.26,6.16,-19.59
350,-10.19,58.31,216.19,-2.53,3.04,-17.8
360,-10.19,58.31,216.19,-2.45,2.23,-17.74
370,-5.19,59.13,228.37,-2.36,1.32,-17.97
380,-4.69,60.19,240.87,-2.36,1.32,-17.97
390,-16.94,61.56,253.62,-1.58,-1.31,-17.9
400,-36.56,62.06,262.87,-0.47,-3.71,-16.64
410,-48.88,61.75,267.87,0.46,-6.65,-15.36
420,-49.13,62.19,269.12,1.28,-7.89,-14.92
430,-42.5,60.56,264.62,1.28,-7.89,-14.92
440,-35.63,56.94,254,2.09,-9.1,-14.59
450,-34.31,52,237.31,3.75,-10.48,-13.04
460,-36.75,44.06,214.69,3.69,-10.5,-12.98
470,-41.69,30.81,194.12,3.99,-11.21,-13.03
480,-62.13,7.62,184.75,3.99,-11.21,-13.03
490,-91.06,-23.25,174.12,5.04,-13.33,-13.43
500,-106,-50.44,152.5,4.95,-13.95,-14.09
510,-98.44,-74.62,121.12,3.81,-13.44,-16.57
520,-74.56,-93.75,87.06,3.74,-13.98,-18.86
530,-49.56,-113,63.06,3.74,-13.98,-18.86
540,-43.88,-134.87,40.25,3.96,-14.7,-21.62
550,-55,-144.62,-0.06,2.8,-9.81,-26.19
560,-54.06,-125.31,-43.75,1.67,-7.89,-27.32
570,-16.5,-95,-71.06,1.62,-7.01,-28.86
580,32.5,-56,-81.19,1.62,-7.01,-28.86
590,63.63,-7.12,-87.06,2.01,-5.99,-29.53
600,64.19,25.69,-95.81,2.32,-3.96,-29.22
610,51.06,49.75,-107.25,2.13,-2.67,-28.64
620,44.31,74.06,-116.62,1.33,-0.15,-26.8
630,47.31,99.31,-115.06,1.33,-0.15,-26.8
640,58.13,122.62,-101.31,1.2,0.3,-26.14
650,66.56,145.69,-84.75,2.29,-0.89,-25.47
660,53.69,169.81,-74.44,2.61,-0.87,-24.33
670,16.12,189.06,-69.31,2.68,-0.82,-23.15
680,-24.56,206.81,-65.44,2.68,-0.82,-23.15
690,-58.94,223.75,-58.44,2.73,-0.65,-21.81
700,-80.12,239.06,-45.5,3.67,-0.56,-17.54
710,-91.06,251.5,-28,4.51,-1.05,-16.33
720,-102,258,-14.31,5.9,-2.35,-14.2
730,-116.25,258,-7.44,5.9,-2.35,-14.2
740,-135.56,255.31,-6.62,6.67,-2.57,-12.94
750,-149.31,252.69,-10.75,7.56,-1.59,-8.12
760,-143.87,249.69,-16.06,7.75,-1.08,-6.66
770,-121,244.31,-17.94,8.47,-0.62,-5.39
780,-87.12,239.37,-15.81,8.47,-0.62,-5.39
790,-47,238.19,-15.19,8.71,-0.43,-4.31
800,-3.69,253.56,-15.81,9.75,0.48,-1.74
810,39.88,263.12,-9.31,9.09,-0.63,-0.52
820,77.44,203.81,11.06,10.78,-2.43,-0.41
830,104.62,135.81,29.31,10.78,-2.43,-0.41
840,112.69,52.44,50.63,10.67,-4.4,-2
850,96.75,-31.06,60.94,10.96,-5.91,-4.12
860,70.62,-88,58,10.61,-7.4,-6.59
870,46.13,-118.94,44.88,9.9,-8.99,-9.08
880,28.62,-145.87,28.94,9.55,-9.61,-10.02
890,5.19,-156.44,7.5,9.74,-10.14,-10.99
900,-26.87,-137.31,-24.37,9.33,-10.14,-13.31
910,-49.88,-108.75,-49.19,8.67,-10.62,-13.56
920,-56.75,-93.94,-79.87,8.42,-9.97,-13.57
930,-47.31,-84,-109.75,7.74,-8.73,-13.46
940,-23.5,-70.87,-140.69,7.22,-7.31,-12.96
