timestamp,gyrox,gyroy,gyroz,accx,accy,accz
10,12.25,-173.25,6.12,0,0,0
20,-3.87,-199.94,-16.94,0,0,0
30,-27.75,-230.62,-35.94,0,0,0
40,-41.31,-266.56,-54.63,-0.57,-2.22,-8.82
50,-37.31,-312.62,-74.37,-1.25,-1.65,-9.63
60,-15.38,-385.87,-95.56,-2.32,0.13,-10.54
70,31.81,-441.19,-113.12,-4.8,1.63,-12.83
80,89.19,-369.44,-100.19,-5.91,1.65,-16.01
90,100.31,-343.06,-83.25,-5.18,1.09,-22.17
100,73,-304.37,-72.75,-5.16,0.93,-23.35
110,38.75,-265.87,-68.5,-4.93,0.75,-23.21
120,26.25,-247.25,-74.94,-4.24,1.12,-23.19
130,37.38,-244.44,-86.69,-4.38,1.21,-24.11
140,55.44,-250.31,-103.87,-4.49,1.32,-25.69
150,62.25,-258.12,-126.06,-5.19,1.79,-28.04
160,51.31,-253.19,-143.12,-6.77,4.2,-33.23
170,30.56,-226.19,-147.56,-8.08,5.47,-35.35
180,5.44,-179.94,-137.06,-9.13,6.42,-37.32
190,-21.25,-119.37,-119.12,-10.12,8.25,-39.36
200,-37.63,-46.06,-96.87,-10.58,9.26,-38.79
210,-29.37,39.94,-65.31,-10.97,10.13,-37.4
220,-7.56,126.25,-22.56,-11.43,10.54,-35.34
230,-0.94,197.12,28.94,-11.68,8.82,-30.13
240,-23.81,238.12,81,-11.05,7.17,-27.28
250,-59.94,250.44,122.69,-10.23,5.49,-24.65
260,-87.94,246.56,149.69,-8.4,2.28,-20.6
270,-100.94,238.81,162,-7.36,1.21,-19.51
280,-99.94,234.81,161.37,-6.32,0.52,-18.8
290,-86,242.69,152.25,-5.59,0.16,-18.05
300,-62.81,260,142.37,-4.64,-0.37,-15.9
310,-38.25,277.81,131.62,-3.98,-0.49,-14.86
320,-19.06,296.37,120.56,-3.23,-0.45,-13.71
330,-7.62,310.94,111.19,-2.33,-0.26,-10.64
340,-4.12,318.69,104.06,-1.72,-0.14,-9.34
350,-9.81,323.5,101.25,-1.08,-0.2,-8.21
360,-19.62,339.25,101.19,-0.46,-0.7,-6.47
370,-23.12,347.19,101.06,0.82,-1.19,-3.16
380,-23.12,347.19,101.06,1.39,-1.29,-2.61
390,-20.37,213.31,83.62,1.37,-1.45,-1.41
400,-30.06,153.19,72.06,3.13,-2.14,0.16
410,-42.75,84.25,51.94,2.98,-2.22,0.49
420,-44.56,26,31.94,2.57,-2.15,0.93
430,-44.56,26,31.94,1.75,-2.5,1.2
440,3.19,-79.81,9,1.15,-3,0.34
450,36.38,-129.5,-0.56,1.03,-3.49,-0.98
460,59.69,-175.69,-15.06,0.6,-4.09,-2.76
470,64.44,-222.94,-41.56,0.4,-4.18,-6.91
480,64.44,-222.94,-41.56,-0.32,-3.43,-8.66
490,49.44,-293.44,-102.12,-1.39,-2.24,-9.91
500,54.75,-333.69,-119.25,-3.33,0.46,-10.76
510,73.19,-396.37,-123.81,-5.18,1.36,-11.6
520,98.37,-392.87,-109.25,-5.72,1.3,-15.05
530,98.37,-392.87,-109.25,-5.68,0.45,-18.45
540,98.44,-399.12,-97.19,-5.51,0.96,-25.39
550,45.63,-369,-107.94,-5.77,1.64,-27.35
560,42.19,-310.75,-114.37,-6.22,2.55,-28.74
570,48.69,-251.25,-112.62,-5.91,3.62,-31.11
580,48.69,-251.25,-112.62,-6.3,4.26,-32.14
590,46.94,-208.31,-113.31,-7.01,5.2,-33.13
600,12.38,-161.12,-105.44,-8.63,6.96,-35.9
610,-9.75,-137.19,-84.69,-9.33,7.35,-37.16
620,-29.69,-99.12,-53.25,-9.51,7.47,-38.15
630,-29.69,-99.12,-53.25,-9.7,7.45,-38.7
640,-38.81,-43.38,-18.62,-9.37,6.49,-37.65
650,-26,117.56,49.13,-8.88,5.4,-35.25
660,-27.19,190.31,71.31,-8.38,4.28,-31.95
670,-39.13,239.5,84.62,-7.64,2.36,-24.83
680,-39.13,239.5,84.62,-7.64,2.36,-24.83
690,-53.75,257.12,93.25,-7.05,1.76,-22.16
700,-77.37,234.37,97.69,-5.22,0.62,-18.65
710,-77.56,218.44,90.81,-4.53,0.31,-16.42
720,-68.25,208.5,84.81,-3.92,0.24,-15.78
730,-68.25,208.5,84.81,-3.92,0.24,-15.78
740,-52.88,208.19,77.69,-3.55,0.26,-15.22
750,-22.31,222.75,67.87,-2.64,0.41,-13.07
760,-11.88,232.87,66.62,-2.26,0.35,-12.07
770,-5.31,239.62,65.75,-1.6,0.24,-11.07
780,-5.31,239.62,65.75,-1.6,0.24,-11.07
790,-3.25,243.75,66,-1.08,-0.16,-8.92
800,-9,239.25,61.38,-0.07,-0.42,-7.21
810,-10.5,260.94,59.31,0.45,-1.14,-5.67
820,-12.75,219.62,56.13,1.66,-1.39,-3.98
830,-12.75,219.62,56.13,1.66,-1.39,-3.98
840,-9.31,154.25,44.56,1.58,-1.48,-3.27
850,2.81,70.56,19.94,1.64,-1.53,-1.47
860,9.44,24.5,11.88,1.38,-1.42,-1.47
870,12.5,-21.81,5.69,1.03,-1.62,-1.42
880,12.5,-21.81,5.69,1.03,-1.62,-1.42
890,15.25,-68.87,-0.94,0.29,-2.13,-2.09
900,20.81,-116,-9.88,-0.23,-2.75,-4.28
910,27.81,-164.62,-22.31,-0.77,-2.62,-7.51
920,31.69,-208.19,-38.44,-1.55,-2.02,-8.9
930,32.63,-247.37,-58.25,-1.55,-2.02,-8.9
940,37.06,-290.31,-75.69,-2.55,-1.18,-10.2
950,53.69,-351.25,-85.5,-5.16,0.61,-14.87
960,84.12,-410.81,-87.31,-5.86,-0.19,-17.74
970,113.62,-360.69,-76.56,-4.87,-0.56,-21.06
980,97.75,-351.69,-73.5,-4.87,-0.56,-21.06
990,53.44,-322.87,-77.25,-5.38,0.66,-24.09
1000,16.94,-278,-75.19,-5.56,1.47,-23.61
1010,7.19,-240.69,-69.19,-5.45,1.36,-23.86
1020,15.69,-221.87,-66.31,-5.28,1.65,-26.36
1030,27.5,-219.25,-74.31,-5.28,1.65,-26.36
1040,32.56,-220.94,-89.62,-5.99,2.27,-28.01
1050,28.12,-215.25,-103.06,-9.16,4.97,-32.83
1060,15.31,-204.87,-107.12,-10.28,5.51,-34.45
1070,-0.75,-187.94,-97.5,-10.77,5.72,-36.47
1080,-17.56,-162.75,-76.25,-10.77,5.72,-36.47
1090,-36.56,-114.81,-50.94,-10.97,5.82,-39.45
1100,-49.94,-42.31,-24.25,-10.8,5.87,-37.51
1110,-45.25,48.13,3.5,-10.43,5.54,-34.73
1120,-27.12,137.12,30,-9.68,4.05,-28.52
1130,-17.94,207.25,51.63,-9.68,4.05,-28.52
1140,-36,250.31,68.69,-9.25,3.37,-25.56
1150,-66.5,262.37,83.06,-7.53,1.71,-18.42
1160,-88.37,259.44,95,-6.82,1.35,-16.99
1170,-96.5,248.44,103.19,-5.97,0.98,-16.03
1180,-93.5,233.62,106.87,-5.97,0.98,-16.03
1190,-83.12,221.56,105.31,-5.32,0.62,-15.25
1200,-69.12,214.19,99.37,-4.04,-0.12,-13.54
1210,-54.06,211.94,90.12,-3.59,-0.06,-12.87
1220,-37.13,212.5,79.87,-3.06,-0.02,-11.49
1230,-16.25,215,71.12,-3.06,-0.02,-11.49
1240,2.94,218.25,67.12,-2.62,-0.09,-10.92
1250,11.88,219.06,65,-1.57,-0.4,-9.8
1260,8.19,213.44,60.63,-1.44,-0.67,-8.51
1270,-4.06,206.94,57.5,-0.55,-1.13,-7.69
1280,-21.69,197.25,55.06,-0.55,-1.13,-7.69
1290,-33.75,195,52.38,0.04,-1.05,-7.06
1300,-33.69,198.12,53.19,1.13,-1.87,-4.19
1310,-21.62,171.5,45.69,0.95,-1.63,-3.81
1320,-2.62,122.5,34.06,0.62,-1.42,-2.93
1330,11.13,92,27.19,0.62,-1.42,-2.93
1340,15.69,50.56,21.87,0.13,-1.43,-2.85
1350,14.31,5,18.44,0.03,-1.91,-2.99
1360,10.94,-43.88,14.31,-0.33,-2.66,-4.49
1370,10.06,-94,5.87,-0.57,-2.85,-5.84
1380,14.94,-140.12,-7.37,-0.57,-2.85,-5.84
1390,25.25,-175.31,-23.75,-1.1,-2.81,-7.3
1400,36.06,-200.31,-40.88,-2.43,-1.58,-10.72
1410,42.31,-214.87,-57.31,-2.43,-1.58,-10.72
1420,44.88,-236.94,-68.81,-2.74,-0.97,-10.92
1430,50.56,-260.87,-77.31,-3.7,-0.28,-11.11
1440,57.5,-287.75,-76.06,-4.89,0.45,-12.03
1450,65.19,-298.31,-69.44,-5.29,0.2,-13.96
1460,65.5,-294.62,-62.38,-5.79,-0.26,-15.62
1470,50.38,-303.56,-59.94,-5.88,-0.51,-19.35
1480,30.25,-297.37,-59.06,-5.91,-0.53,-20.56
1490,18,-273.5,-62.75,-6.22,-0.55,-21.38
1500,12.44,-244.37,-73,-5.9,-0.65,-21.63
1510,9.19,-235.37,-95.69,-6.01,0.39,-22.4
1520,9.31,-253.06,-127.19,-7.1,1.61,-23.35
1530,13.69,-288.44,-156.19,-8.57,2.94,-25.27
1540,16.19,-320.44,-174.12,-12.2,5.79,-32.7
1550,6.5,-321.19,-175.31,-13.84,6.92,-36.8
1560,-19.62,-279.5,-158.94,-14.8,7.8,-40.38
1570,-51.13,-209.31,-133,-15.67,9.43,-43.38
1580,-61.38,-114.94,-102.06,-15.62,10.06,-42.85
1590,-44.06,-7.25,-67.75,-15.46,10.54,-41.59
1600,-15.94,97.75,-29.56,-15.46,11.03,-39.47
1610,-0.19,186.06,19.06,-15.29,9.47,-32.96
1620,-17.19,246.5,72.87,-14.82,7.6,-29.94
1630,-63.56,273.69,122.69,-14.02,5.64,-26.64
1640,-104.81,277.06,161.37,-12.06,1.93,-20.86
1650,-119,272.56,185.25,-10.88,0.57,-19.35
1660,-112.69,271.56,191.94,-9.7,-0.52,-18.33
1670,-99.06,275.62,184.12,-8.74,-1.31,-17.51
1680,-83.75,284.25,167.94,-7.79,-2.03,-15.23
1690,-66.25,292.44,150.5,-7,-1.97,-14.23
1700,-46.19,301.25,134.62,-6.42,-1.73,-13.22
1710,-25.25,311.44,123.31,-5.46,-1.47,-10.82
1720,-6.31,323.25,116,-4.87,-1.33,-9.84
1730,3.56,334.31,114.81,-4.07,-1.45,-8.77
1740,0.25,343.12,113.12,-3.34,-1.76,-7.67
1750,-11.44,364.62,108.37,-2.78,-2.01,-6.41
1760,-25.44,367.56,106.62,-1.42,-2.39,-3.32
1770,-38.44,275.81,91.37,-0.88,-2.43,-3.08
1780,-51.81,231.81,84.62,0.17,-2.48,-0.83
1790,-67.31,177.12,83.31,0.65,-2.73,-0.12
1800,-73.81,119.37,74.75,1.31,-2.89,0.32
1810,-67.12,66.31,62.06,1.25,-3.43,1.13
1820,-39.25,20.62,45.63,0.98,-3.62,1.19
1830,2.81,-21.87,28.37,0.99,-3.91,0.7
1840,41.38,-61.06,8.06,0.77,-4.18,-0.3
1850,59.75,-99.87,-15.38,-0.04,-4.18,-2.94
1860,54.31,-140.75,-40.06,-0.59,-3.89,-4.15
1870,37.88,-182.06,-64.19,-1.22,-3.28,-5.05
1880,28.69,-221.75,-84.94,-1.99,-1.88,-6.99
1890,34.69,-257.06,-102.37,-2.51,-1.21,-8.14
1900,53.81,-287.31,-116.44,-3.23,-0.57,-9.4
1910,78.06,-321.87,-124.81,-4.08,0.06,-10.51
1920,98.06,-383.31,-126.75,-5.51,1.41,-12.16
1930,115.37,-395.31,-124.56,-6.01,1.62,-15.27
1940,116.56,-349,-111.69,-6.61,1.38,-17.57
1950,84.75,-336.75,-101.56,-6.3,1.59,-20.97
1960,42.75,-321.5,-99.44,-6.04,1.82,-21.24
1970,16.87,-316.87,-106.75,-6.56,2.2,-21.54
1980,17.69,-327.94,-118.94,-6.9,2.47,-22.63
1990,38.44,-340.25,-139.44,-8.43,3.87,-28.04
2000,62.31,-322.37,-158.5,-9.66,4.8,-30.6
2010,75.06,-280.56,-163.25,-10.86,5.74,-32.77
2020,69.5,-231.62,-152.25,-13.41,7.36,-36.06
2030,45.13,-188.12,-129.25,-14.39,7.62,-37.14
2040,4.56,-155.75,-97.19,-15.07,7.52,-38.39
2050,-41.44,-128.5,-66.06,-15.8,7.75,-40.82
2060,-70.69,-84.19,-36.88,-15.75,7.95,-41.23
2070,-66.81,-6,-4.62,-15.54,8.05,-40.74
2080,-43.56,97.56,32.75,-15.12,7.79,-39.03
2090,-28.44,195.31,69.12,-14.38,5.75,-31.55
2100,-36.88,265.62,97.69,-14.07,4.77,-27.91
2110,-63.75,301.31,122.81,-13.47,3.68,-24.55
2120,-90.94,301.62,143.19,-11.61,1.35,-19.39
2130,-104.5,286.5,153.37,-10.41,0.63,-17.95
2140,-101.56,270.94,153.31,-9.37,0.21,-17.13
2150,-88.87,263.25,145.94,-8.6,0,-16.52
2160,-73.94,266.25,136.19,-7.72,-0.16,-14.9
2170,-60.38,277,128.5,-7.27,0,-14.08
2180,-49.94,290.06,125.69,-6.62,0.02,-13.06
2190,-41.38,300.19,126,-5.75,-0.36,-10.67
2200,-33.94,306.87,126.81,-4.87,-0.59,-9.63
2210,-30.75,306.12,127.06,-4.02,-0.9,-8.65
2220,-33,298.62,125.25,-3.24,-1.12,-7.72
2230,-35.44,296.81,119.87,-2.21,-1.65,-6.55
2240,-34.31,318.75,115.25,-1.99,-2,-5.8
2250,-35.44,283.06,109.37,-0.2,-2.51,-3.81
2260,-36.44,225.37,92,0.12,-2.53,-1.9
2270,-39.06,188.5,86.19,0.95,-2.83,-0.96
2280,-40.19,142.31,73.75,1.17,-2.77,-0.42
2290,-41.38,91.62,61.31,1.14,-2.97,0.48
2300,-36.31,39.06,47.25,1.21,-3.09,0.66
2310,-21.87,-13.13,32.13,1.1,-3.3,0.54
2320,-3.37,-66.87,14.88,1.29,-3.46,0.06
2330,14.19,-117.56,-5.56,0.44,-3.42,-2.58
2340,28.87,-157.56,-28.62,-0.31,-3.04,-4.07
2350,37.75,-188.5,-47.56,-0.87,-2.62,-5.34
2360,43,-216.44,-61.75,-1.92,-1.84,-7.58
2370,49.06,-244.06,-72.25,-2.46,-1.5,-8.75
2380,56.63,-276,-79.69,-3.04,-1.24,-10.06
2390,64.69,-310.31,-87.44,-3.71,-0.92,-10.91
2400,72.5,-362.81,-95.62,-4.86,0.04,-11.76
2410,82.06,-400.44,-103.44,-5.86,0.44,-14.1
2420,96.44,-369.62,-102.87,-7.4,0.23,-15.77
2430,95.62,-374.44,-95.44,-7.35,-0.04,-20.82
2440,79.12,-367.06,-91.44,-7.17,-0.35,-22.55
2450,55.5,-351.56,-104.62,-7.42,0,-23.77
2460,38.31,-332.5,-126.5,-7.85,0.74,-24.72
2470,34.13,-319.37,-147.44,-8.75,2.44,-27.59
2480,41.06,-308.5,-171.75,-9.42,3.54,-29.48
2490,48.38,-288.31,-193.94,-10.52,5.08,-31.28
2500,53.06,-253.69,-198.37,-13.13,8.32,-34.99
2510,49.94,-207.12,-177.12,-14.22,9.04,-36.47
2520,29.87,-155.94,-138.12,-15.01,9.29,-37.41
2530,-2.94,-111.31,-90.06,-15.88,9.13,-38.64
2540,-31.06,-64,-39.69,-15.89,8.74,-38.93
2550,-40.75,1.62,8.31,-15.64,8.07,-38.49
2560,-34.31,87.19,52.19,-15.09,6.81,-36.82
2570,-30.87,169.31,85.25,-14.07,3.97,-30.25
2580,-42.56,229.5,104.5,-13.6,3.31,-26.84
2590,-61,262.5,119.5,-13.14,2.74,-23.81
2600,-76,269.06,134.69,-11.77,0.96,-19.67
2610,-85.37,259.94,146.75,-10.84,0.17,-18.57
2620,-88.69,247.87,151.12,-9.87,-0.49,-17.83
2630,-85.25,240.31,147.87,-8.97,-0.98,-17.2
2640,-75.06,239.87,137.81,-7.36,-1.66,-15.58
2650,-58.44,246.44,120.87,-6.77,-1.42,-14.89
2660,-39.25,259.5,103.69,-6.23,-1.01,-14.12
2670,-23.56,274.94,91.37,-5.63,-0.42,-11.98
2680,-15.69,287.25,84.5,-4.99,-0.17,-10.79
2690,-15,292.87,82.31,-4.42,0.03,-9.64
