timestamp,gyrox,gyroy,gyroz,accx,accy,accz
10,29.06,152.31,172.31,0,0,0
20,31.87,149.44,146.19,0,0,0
30,31.62,144.5,118.75,0,0,0
40,32.69,145.69,93.87,4.61,-13.23,-19.26
50,44.31,152.62,72,5.73,-13.7,-18.42
60,62.63,161.69,45.25,5.95,-13.78,-18.23
70,68.19,168.56,22.5,6.07,-13.83,-18.01
80,57.13,169.69,1.37,6.48,-13.7,-17.5
90,43,170.12,-17.5,6.52,-12.61,-15.54
100,39.44,166.75,-30.69,6.85,-12.44,-14.29
110,46.75,156,-44.88,7.11,-12.62,-13.56
120,57.06,138.31,-58.94,7.85,-12.49,-13.04
130,57.38,116.75,-73.37,8.3,-12.57,-13.42
140,42.19,99.25,-90.06,8.53,-12.54,-13.95
150,19.06,93.06,-107.69,8.54,-12.24,-14.37
160,-5.44,95.12,-119.69,8.38,-11.49,-13.88
170,-24.37,100.31,-126.75,8.12,-10.29,-13.46
180,-28.12,111.31,-130.81,8.46,-9.82,-13.12
190,-47.94,112.19,-139.69,8.35,-8.87,-12.54
200,-78.87,106.81,-146.06,8.47,-8.08,-11.83
210,-94.25,105.69,-152,8.51,-6.93,-10.61
220,-95.56,102.37,-155.25,8.24,-5.83,-10.27
230,-109.12,96,-151.06,7.92,-4.45,-10.94
240,-145.31,91.94,-142.56,8.11,-3.75,-10.76
250,-179.56,98.75,-132.12,8.17,-3.32,-9.93
260,-194.81,111.81,-124.75,8.71,-3.7,-7.44
270,-194,108.31,-126.62,9.11,-3.65,-6.22
280,-172.37,98.37,-140.81,9.62,-3.45,-4.95
290,-128.62,84,-168.87,9.65,-2.41,-3.14
300,-72.56,56,-208.06,9.16,-0.18,-2.85
310,-24.5,16.06,-237.75,7.34,1.14,-3.41
320,10.81,-23.12,-254.44,7.33,3.53,-4.29
330,30.06,-55.13,-245.94,6.07,6.72,-6.06
340,35.19,-81.25,-229.12,5.52,8.03,-7.06
350,25.69,-102.87,-207.31,5.04,8.86,-7.86
360,10.25,-115.56,-185.44,5.29,9.81,-9.45
370,-6.81,-116,-165.19,5.06,10.17,-9.78
380,-6.81,-116,-165.19,4.74,10.59,-9.83
390,-47.69,-122.31,-133.62,4.45,11,-9.57
400,-59.81,-139.12,-126.62,4,11.93,-9.41
410,-55.25,-157.5,-126.25,3.36,12.8,-9.98
420,-38.13,-170.06,-122,2.73,13.67,-10.65
430,-12.44,-172.87,-111.37,2.31,15.02,-12.19
440,12.56,-170.62,-93.62,2.11,15.39,-13.28
450,31.06,-166.06,-71.87,2.03,15.49,-14.31
460,42.81,-158.94,-54.56,1.89,15.48,-15.32
470,52.81,-147.75,-41.13,1.58,15.89,-16.58
480,66.06,-136.19,-29.5,1.19,15.89,-17.12
490,80.25,-129.06,-20.12,0.49,15.93,-17.61
500,94.06,-119.56,-11.94,0.11,16.27,-19.48
510,103.75,-99.56,-3.19,-0.62,16.6,-20.45
520,100.31,-74.25,15,-0.81,16.98,-20.75
530,100.31,-74.25,15,-1.34,17.22,-20.23
540,82.75,-53.88,44.25,-1.16,16.49,-19.72
550,11.81,-40.44,127.37,-0.71,15.2,-18.97
560,-22.5,-46.69,164.25,-0.24,13.49,-17.95
570,-40.31,-63.63,187.75,0.93,9.43,-17.12
580,-40.31,-63.63,187.75,1.36,7.93,-17.49
590,-40.75,-83.12,191.62,1.31,7,-17.78
600,18.44,-90.5,160.44,0.8,6.67,-18.3
610,65.31,-82.31,145.87,0.42,6.74,-19.28
620,91.31,-71.75,141.56,0.21,6.76,-20.48
630,91.31,-71.75,141.56,-0.04,6.76,-21.04
640,83,-61.81,151.19,0.13,4.94,-20.09
650,24,-55.06,193.12,0.4,3.43,-18.97
660,12.31,-59.63,205.56,0.82,1.78,-18.16
670,16.81,-62.38,206.69,1.84,-1.23,-17.26
680,16.81,-62.38,206.69,1.84,-1.23,-17.26
690,26.37,-66.12,198.87,2.33,-2.52,-17.03
700,16.5,-83.12,156,2.17,-3.75,-17.73
710,4.31,-90.44,138.75,2.23,-4.01,-16.95
720,4.75,-96.12,121.81,2.05,-4.1,-16.64
730,4.75,-96.12,121.81,2.05,-4.1,-16.64
740,12.94,-99.87,107.94,1.61,-4.69,-15.76
750,29.37,-116.62,93.37,1.43,-5.21,-15.51
760,31.31,-131.94,89.12,1.14,-5.83,-15.47
770,19.87,-156.94,82.19,0,-7,-17.28
780,19.87,-156.94,82.19,0,-7,-17.28
790,-4.87,-181.75,73.81,-0.32,-7.39,-17.98
800,-28.56,-201.87,44.19,-0.58,-7.55,-19.24
810,-25,-195.31,18.12,-0.55,-7.54,-20.37
820,-17.56,-182.75,-16.5,-0.93,-6.87,-20.65
830,-17.56,-182.75,-16.5,-0.93,-6.87,-20.65
840,-6.19,-162.37,-49.69,-1.53,-6,-20.51
850,7,-131.5,-80.06,-2.86,-3.02,-18.8
860,-14.63,-137.69,-88.37,-3.72,-2.56,-18.58
870,-43.81,-151.5,-93.5,-4.57,-1.51,-18.04
880,-43.81,-151.5,-93.5,-4.57,-1.51,-18.04
890,-52,-164.56,-92.69,-5.42,-0.82,-18.28
900,-49.88,-173.06,-94.5,-6.94,-0.15,-18.45
910,-38.31,-173.75,-95.19,-7.78,-1.72,-20.75
920,-19.5,-177.37,-89.12,-8.3,-2.44,-22.25
930,-13.38,-187.25,-91.69,-8.3,-2.44,-22.25
940,-11.38,-186.69,-111,-8.87,-2.42,-23.51
950,-0.5,-168.37,-138.75,-12.62,0.47,-26.48
960,9.88,-135.25,-164.94,-13.69,1.46,-26.81
970,12.44,-99.56,-175.31,-14.22,1.85,-27.28
980,6.75,-67.69,-170.62,-14.22,1.85,-27.28
990,-2.56,-36.63,-161.12,-14.84,2.58,-27.42
1000,-11,-2.5,-143.81,-13.87,1.44,-26.81
1010,-27,24.5,-135.37,-14.34,1.73,-25.77
1020,-34.88,41.75,-142.31,-14.73,2.91,-25.69
1030,-17.25,58.25,-148.25,-14.73,2.91,-25.69
1040,1,79.5,-149.75,-14.89,3.24,-26.68
1050,-3.06,108.31,-143.12,-14.15,3.64,-25.71
1060,-25.25,136.19,-124.87,-13.5,3.27,-24.53
1070,-49.88,160.37,-107.37,-12.8,2.83,-23.4
1080,-61.19,181.87,-95.37,-12.8,2.83,-23.4
1090,-62.06,196.75,-92.06,-11.89,2.77,-21.12
1100,-56.81,203.31,-92.81,-10.54,3.34,-20.08
1110,-45.94,205.37,-92.94,-9.73,3.62,-20.03
1120,-37.25,208.94,-93.06,-8.45,4.1,-19.23
1130,-33,219.31,-92,-8.45,4.1,-19.23
1140,-35.5,230.56,-88.94,-7.58,4.18,-18.61
1150,-44.69,236.44,-84.69,-5.62,4.75,-15.54
1160,-51.81,238.06,-75.5,-4.58,4.77,-14.63
1170,-52.5,240.5,-69.06,-3.72,4.81,-13.67
1180,-51.69,243.56,-65.31,-3.72,4.81,-13.67
1190,-51.81,244.44,-61.69,-3.03,5.06,-12.54
1200,-51.75,240.87,-55,-1.77,6.07,-8.76
1210,-49.5,224.75,-43,-1.25,6.3,-7.97
1220,-46.81,195.5,-27.06,-0.48,6.22,-6.94
1230,-42.19,151.5,-7.31,-0.48,6.22,-6.94
1240,-25.81,89.31,9.38,0.04,5.95,-7.47
1250,8.38,30.44,14.56,0.91,6.19,-13.94
1260,50.75,-4.06,-0.25,-0.13,8,-15.03
1270,99.25,-2.87,-30.94,-1.21,9.51,-16.01
1280,144,12.19,-46,-1.21,9.51,-16.01
1290,152.44,15.56,-32.19,-2.11,10.35,-17.3
1300,109.62,0.25,1.94,-3.73,10.98,-21.14
1310,45.94,-22.69,48.38,-3.43,10.12,-21.93
1320,10.13,-35.63,95.25,-2.62,8.26,-23.53
1330,25,-22.94,126.25,-2.62,8.26,-23.53
1340,68.87,13.25,146.69,-1.57,7.09,-24.33
1350,102.75,57.44,162.37,0.4,4.62,-24.91
1360,97.19,92.06,170.81,0.79,4.33,-21.98
1370,70.31,107.5,177.31,0.61,4.2,-21.05
1380,58.88,106.12,189.19,0.61,4.2,-21.05
1390,64.12,95.12,213.37,0.66,3.28,-21.41
1400,65.12,88.37,241.87,1.94,0.25,-23.04
1410,60.75,98.25,263.69,2.58,-1.32,-23.06
1420,42.19,120.06,280.37,3.25,-3.03,-22.26
1430,-0.37,126.94,294.31,3.69,-4.76,-21.08
1440,-51.5,112.37,304.19,3.26,-7.65,-18.71
1450,-87.37,79.56,310.62,3.17,-9.16,-18.57
1460,-94.56,38.25,308.56,3.15,-10.39,-18.71
1470,-73.56,2.81,300.37,3.11,-13.04,-22.26
1480,-44.19,-12.38,287.69,3.44,-14.32,-23.99
1490,-6.69,3.81,260,4.29,-15.49,-25.32
1500,32.25,49.44,216.5,4.87,-18.12,-27.06
1510,15.94,106.5,168.19,4.97,-18.82,-26.31
1520,-17.81,152.87,120.5,4.95,-19.16,-24.7
1530,-55,171.94,76.25,4.55,-18.94,-22.7
1540,-73.5,171.56,42.5,4.87,-18.6,-19.87
1550,-67.31,165.81,12.94,5.71,-18.69,-19.42
1560,-51.25,162.12,-26.06,6.29,-18.04,-18.92
1570,-31.87,159,-71.62,6.03,-14.57,-17.85
1580,-7.87,160.62,-107.25,6.17,-13.13,-17.58
1590,8.75,168.69,-128.75,6.48,-12.24,-17.52
1600,6,180.56,-141.31,7.06,-11.46,-17.08
1610,-15.19,193.06,-150.19,7.76,-10.79,-15.67
1620,-46.13,204.19,-160.25,8.19,-10.41,-14.15
1630,-70.06,212.62,-174.5,8.57,-9.88,-12.25
