timestamp,gyrox,gyroy,gyroz,accx,accy,accz
10,2.31,-4.56,2.69,0.00,0.00,0.00
20,0.44,-4.87,1.25,0.00,0.00,0.00
30,-5.19,-5.12,0.06,0.00,0.00,0.00
40,-8.31,-7.19,1.12,1.80,-0.97,-19.00
50,-11.44,-9.94,3.81,1.64,-0.74,-19.21
60,-11.69,-10.25,6.75,1.55,-0.57,-19.27
70,-5.94,-8.50,9.63,1.53,-0.53,-19.40
80,-30.50,-152.69,85.31,-1.09,-3.93,4.72
90,-18.00,-161.12,79.75,-0.54,-5.60,3.26
100,-5.12,-167.31,71.50,0.18,-7.49,1.12
110,4.94,-174.94,61.81,0.92,-8.34,-0.39
120,13.31,-179.87,49.31,0.92,-8.34,-0.39
130,22.62,-179.56,33.81,1.51,-9.44,-1.95
140,27.19,-176.37,14.63,2.85,-13.21,-9.12
150,22.50,-161.94,-13.75,2.61,-13.22,-10.17
160,18.06,-136.19,-47.31,2.34,-12.90,-11.67
170,18.87,-111.19,-78.62,2.34,-12.90,-11.67
180,18.12,-84.37,-107.94,1.40,-11.85,-14.93
190,20.25,-47.25,-137.94,-0.61,-7.67,-14.89
200,28.25,-13.06,-158.44,-1.11,-5.65,-15.12
210,35.13,17.81,-169.19,-1.84,-1.86,-14.07
220,40.94,52.88,-176.94,-1.84,-1.86,-14.07
230,40.44,87.44,-182.12,-2.88,1.06,-12.40
240,38.31,115.87,-176.37,-3.81,4.01,-9.87
250,32.69,130.44,-158.56,-4.77,7.71,-6.07
260,11.19,128.94,-134.31,-4.90,8.39,-5.48
270,-17.44,128.94,-111.69,-5.27,9.27,-4.65
280,-38.13,131.44,-87.50,-5.52,10.24,-3.51
290,-46.31,135.12,-60.69,-5.51,11.28,-2.14
300,-46.25,144.50,-33.69,-5.70,11.58,-0.76
310,-41.38,150.50,-4.19,-5.62,11.55,0.99
320,-41.19,148.31,24.69,-4.65,9.81,3.10
330,-50.75,142.44,48.63,-4.31,8.82,4.47
340,-57.94,132.25,69.25,-4.10,7.92,5.77
350,-64.25,117.62,87.06,-3.38,5.60,8.22
360,-74.31,96.19,100.31,-2.86,4.27,9.68
370,-78.37,68.75,109.62,-2.31,3.07,10.26
380,-77.87,45.00,113.69,-1.91,2.34,10.50
390,-74.69,22.75,115.44,-1.32,1.59,12.85
400,-63.31,-2.94,116.87,-1.30,0.98,14.28
410,-46.50,-38.19,118.37,-1.07,-0.07,15.39
420,-30.62,-80.25,115.94,-0.54,-2.85,14.32
430,-23.06,-120.37,107.37,-0.64,-3.67,13.28
440,-14.38,-154.19,97.62,-0.63,-4.46,11.74
450,-1.50,-179.00,88.00,-0.41,-5.41,9.39
460,15.56,-190.31,77.19,-0.16,-7.34,6.15
470,34.38,-196.69,66.19,0.07,-8.44,4.82
480,46.50,-206.37,54.38,0.60,-10.31,2.42
490,40.00,-212.12,35.38,1.46,-14.11,-4.87
500,23.06,-202.69,5.87,2.10,-15.27,-8.13
510,11.44,-179.12,-31.62,2.01,-15.71,-11.30
520,9.81,-138.06,-71.44,1.42,-15.00,-13.53
530,20.19,-90.00,-106.50,0.18,-11.80,-14.52
540,30.25,-51.88,-133.37,-0.81,-8.96,-14.52
550,37.00,-21.12,-146.75,-1.48,-6.00,-14.34
560,36.25,4.56,-149.56,-1.63,-1.32,-14.72
570,27.44,33.56,-147.25,-1.79,0.80,-13.80
580,18.44,63.69,-141.69,-2.16,2.96,-11.98
