timestamp,gyrox,gyroy,gyroz,accx,accy,accz
10,19.56,3.19,-3.75,0,0,0
20,31.12,5.62,-3,0,0,0
30,47.44,9.25,-3.81,0,0,0
40,60.5,15.31,-5.12,8.68,4.08,-11.81
50,60.44,22.19,-5.12,8.71,3.77,-12.2
60,46.25,24.19,-7,9.29,2.95,-11.79
70,31.19,21.69,-13.75,9.29,3.08,-11.42
80,29.69,24.37,-18.37,8.12,3.42,-11.26
90,34.19,25.94,-20.19,8.83,3.53,-10.06
100,35.56,17.37,-21.75,8.5,3.97,-10.26
110,37.69,12.69,-19.06,8.48,4.25,-10.51
120,35.44,8.88,-14.44,8.6,4.4,-11
130,29.87,5.06,-9.06,8.61,4.28,-11.11
140,28.12,7,-5.06,8.59,4.16,-11.2
150,27.81,10.5,-2.06,8.71,4.02,-11.14
160,27.87,12,-0.88,8.72,3.6,-11.01
170,30.25,13.63,-1.69,8.86,3.43,-10.67
180,38.63,13.88,-3.94,9.03,3.11,-10.39
190,47,13.06,-8.81,8.97,3.29,-10.69
200,51.25,14.31,-13.5,8.8,3.54,-11.1
210,45.13,20.12,-16.5,8.79,3.82,-11.56
220,22.94,26.12,-17.62,8.77,4.2,-11.67
230,-13.31,23.69,-10.63,7.79,6.35,-12.68
240,-48.5,33.44,7.94,8.01,5.4,-12.61
250,-84.69,42.69,12.63,8.56,5.83,-10.63
260,-104.37,28.06,25.37,8.17,7,-8.66
270,-128.81,0.5,47,7.64,6.67,-8.82
280,-165.25,-35.56,64.81,8.17,6.37,-7.59
290,-154.5,-71,77.62,8.06,6.78,-6.06
300,-96.56,-96.75,95.56,8.32,5.61,-7.47
310,-43.94,-113.06,108,8.69,4.5,-9.65
320,-23.5,-109.94,108.94,8.97,3.59,-11.85
330,-24.06,-87.06,99.12,9.42,3.06,-12.88
340,-15.25,-57.31,86.56,9.56,3.31,-12.05
350,6.81,-36.31,77.94,9.77,2.97,-11.61
360,23.81,-20.69,61.81,10.94,1.98,-9.98
370,30.75,-19.5,37.56,10.52,2.85,-9.3
380,44.19,-25.37,20.25,10.18,3.58,-9.79
390,52.44,-25.87,14.63,9.95,4.25,-10.25
400,42.56,-36.75,21,10.73,4.31,-11.06
410,25.25,-54.38,29.12,10.52,4.55,-11.31
420,28,-63,44.13,10.03,4.84,-11.71
430,43.88,-60.56,64.19,9.82,4.29,-13.1
440,49.13,-55.5,84,9.57,3.78,-13.45
450,45.81,-50.75,105.31,9.42,3.19,-13.66
460,46.69,-45.94,126.44,9.71,2.34,-13.73
470,52.25,-31.81,137.81,9.44,-0.06,-14.92
480,43.19,-14.94,140.44,9.53,-1.16,-15.12
490,18.31,-3.12,135.69,9.39,-1.86,-14.95
500,-8.94,1.56,128.62,8.88,-2.9,-13.75
510,-22.37,1.62,115.62,7.92,-3.09,-12.92
520,-4.25,5.5,101.56,8.15,-3.26,-12.35
530,-4.25,5.5,101.56,7.92,-3.9,-12.77
540,22.19,4.5,70.87,7.38,-4.41,-14.03
550,15.63,6.25,56.44,7.05,-4.56,-14.3
560,16,13.19,46.44,6.42,-4.8,-14.29
570,25.69,26.87,38,5.71,-6.01,-14.05
580,25.69,26.87,38,5.17,-6.68,-13.71
590,38,42.38,26.25,4.87,-7.37,-13.44
600,52.13,67.81,-15.63,4.59,-7.92,-12.89
610,56.13,69.37,-46.06,3.22,-7.73,-10.61
620,67.87,59.75,-72.31,2.44,-7.83,-10.01
630,67.87,59.75,-72.31,1.72,-8.04,-10.05
640,75.5,43.5,-94.94,0,-8.31,-9.95
650,96.12,18.94,-135.62,-0.57,-8.57,-10.14
660,117.19,15.69,-163.5,-1.11,-8.4,-10.23
670,133.25,13.19,-196,-2.22,-4.89,-9.55
680,133.25,13.19,-196,-2.72,-1.97,-9.45
690,149.12,9.13,-225.5,-2.38,0.81,-9.27
700,148.81,-11.81,-251.75,-2.12,3.48,-8.95
710,155.37,-49.25,-252.37,-0.62,7.28,-10.36
720,155.94,-72.56,-258,0.07,10.63,-10.36
730,155.94,-72.56,-258,-0.85,13.46,-10.14
740,158.62,-95.19,-240.87,-0.92,16.88,-13.23
750,105.06,-175.62,-124.75,-0.65,17.14,-14.56
760,74.81,-186.06,-54.56,0.52,16.5,-15.53
770,56.63,-172.56,-2.31,2.2,15.27,-16.9
780,56.63,-172.56,-2.31,5.23,14.31,-15.58
790,18.56,-162.94,26.87,6.09,13.82,-15.58
800,-21.75,-177.62,51.44,8.92,13.51,-16.6
810,-22.06,-156.44,40,11.59,15.4,-18.97
820,-30.31,-124.87,35.63,11.91,17.15,-18.89
830,-30.31,-124.87,35.63,11.87,18.81,-18.27
840,-40.25,-92.37,54.56,11.32,19.9,-17.33
850,-75,-88.44,180.12,11.45,18.33,-16.21
860,-95.06,-126.5,266.75,12.82,13.4,-18.91
870,-116.87,-165.81,321.31,14.59,7.97,-21.29
880,-116.87,-165.81,321.31,16.65,0.14,-27.2
890,-112.81,-175.06,337.81,16.25,-2.38,-30.45
900,-95.69,-101,326,15.44,-4.41,-32.53
910,-87.62,-22.94,310.06,13.92,-8.49,-33.97
920,-82.19,67.75,283,12.71,-9.91,-33.37
